row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
10,10,10,1. Net revenues from sale of goods and rendering of services,24.1,"6,885,252,649,255","854,349,358,534",,241.0,,
11,11,11,2. Costs of goods sold and services rendered,25,"(4,104,840,536,101)","(507,756,110,166)",,25.0,,
20,20,20,3. Gross profit from sale of goods and rendering of services,,"2,780,412,113,154","346,593,248,368",,,,
21,20 > 21,21,4. Finance income,24.2,"688,572,478,915","648,602,255,516",,242.0,,
22,20 > 22,22,5. Finance expenses,26,"(1,148,489,826,630)","(546,838,632,225)",,26.0,,
23,23,23,- In which: Interest expenses,,"(390,368,065,149)","(411,086,699,653)",,,,
25,23 > 25,25,6. Selling expenses,27,"(622,824,294,873)","(47,790,902,234)",,27.0,,
26,23 > 26,26,7. General and administrative expenses,27,"(497,421,294,948)","(447,859,710,178)",,27.0,,
30,30,30,8. Operating profit (loss),,"1,200,249,175,618","(47,293,740,753)",,,,
31,31,31,9. Other income,,"17,965,823,381","6,829,813,552",,,,
32,32,32,10. Other expenses,,"(11,950,615,657)","(11,799,763,857)",,,,
40,40,40,11. Other income (loss),,"6,015,207,724","(4,969,950,305)",,,,
50,50,50,12. Accounting profit (loss) before tax,,"1,206,264,383,342","(52,263,691,058)",,,,
51,50 > 51,51,13. Current corporate income tax expense,28.1,"(272,390,824,035)","(4,304,809,468)",,281.0,,
52,50 > 52,52,14. Deferred tax (expense) income,28.3,"(96,580,675,977)","59,557,034,248",,283.0,,
60,60,60,15. Net profit after tax,,"837,292,883,330","2,988,533,722",,,,
