row_label_raw,row_label_full,Lenders,Ending balanceVND,Due date,Interest rate(% p.a.),Description of collateral,numeric__Ending balanceVND,numeric__Due date,numeric__Interest rate(% p.a.),numeric__Description of collateral
Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,"399,993,575,639",From 21 May 2025 to 17 September 2025,7.00 – 7.5,"Lot 2479, Map Sheet No.5; Lot 779, Map Sheet No. 6 and Lot 226, Map Sheet No.5, An Thanh Commune, Ben Luc District, Long An Province, owned by Nam Long VCD",,,,
International Viet Nam Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank > International Viet Nam Commercial Joint Stock Bank,International Viet Nam Commercial Joint Stock Bank,"99,690,994,719",12 September 2025,7.00,Unsecured,,,700.0,
Standard Chartered Bank (Vietnam) Limited,Standard Chartered Bank (Vietnam) Limited,Standard Chartered Bank (Vietnam) Limited,"89,520,663,367",From 11 April 2025 to 19 August 2025,6.34 - 7.87,"Lot 6262, Map Sheet No. 6, An Thanh Commune, Ben Luc District, Long An Province",,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,Standard Chartered Bank (Vietnam) Limited > Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam - HCMC Branch,"86,721,254,486",From 28 March 2025 to 24 June 2025,6.50,Unsecured,,,650.0,
TOTAL,TOTAL,TOTAL,"675,926,488,211",,,,,,,
20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral,,,,
Orient Commercial Joint Stock Bank,20.4 Long-term loans from banksDetails of the long-term loans from banks for implement and investment for projects are as follows:Lenders Ending balanceVNDDue dateInterest rate(% p.a.)Description of collateral > Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,"400,000,000,000",25 October 2027,9.00,"Ownership of derivative assets and transitional security assets at the Nam Long 2 Residential Area project in Nam Can Tho Urban Area, Hung Thanh Ward, Cai Rang District, Can Tho City",,,900.0,
