row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
"Cost of project management services and cost of land, apartments, town houses and villas","Cost of project management services and cost of land, apartments, town houses and villas","Cost of project management services and cost of land, apartments, town houses and villas","4,104,552,157,530","507,454,779,582",,
Cost of rendering of services,Cost of rendering of services,Cost of rendering of services,"288,378,571","301,330,584",,
TOTAL,TOTAL,TOTAL,"4,104,840,536,101","507,756,110,166",,
