row_label_raw,row_label_full,Southgate,Công ty con,Cổ tức,199.216.068.493,142.216.068.493,numeric__Công ty con,numeric__Cổ tức,numeric__199.216.068.493,numeric__142.216.068.493
NLG - NNR - HRFuji,NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Cổ tức,44.571.780.823,38.772.602.740,,,44571780823.0,38772602740.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Thu hoàn vốn,25.977.690.000,-,,,25977690000.0,
Mizuki,Mizuki,Mizuki,Công tyliên doanh,Cổ tức,3.600.000.000,3.485.296.803,,,3600000000.0,3485296803.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Thu hồi vốn gópHĐHTKD,1.920.000.000,1.920.000.000,,,1920000000.0,1920000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Cổ tức,1.300.000.000,11.700.000.000,,,1300000000.0,11700000000.0
Anabuki,Anabuki,Anabuki,Công ty liêndoanh,Khác,627.312.825,-,,,627312825.0,
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tức,327.800.000,16.327.800.000,,,327800000.0,16327800000.0
Paragon,Paragon,Paragon,Công tyliên doanh,Tạm ứngđể vốn góp,-,170.000.000.000,,,,170000000000.0
Sàn Giao Dịch,Sàn Giao Dịch,Sàn Giao Dịch,Công ty con,Cổ tức,-,47.900.000.000,,,,47900000000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Cổ tức,-,12.000.000.000,,,,12000000000.0
Nam LongMekong,Nam LongMekong,Nam LongMekong,Công ty con,Cổ tức,-,1.544.140.000,,,,1544140000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Cổ tức,-,700.000.000,,,,700000000.0
,,,,,277.540.652.141,446.565.908.036,,,277540652141.0,446565908036.0
