row_label_raw,row_label_full,col_0,Loans,Bonds,VND Total,numeric__Loans,numeric__Bonds,numeric__VND Total
Beginning balance,Beginning balance,Beginning balance,"1,201,480,237,791","3,074,976,550,761","4,276,456,788,552",,,
Drawdown of loans and bonds,Drawdown of loans and bonds,Drawdown of loans and bonds,"1,810,631,239,949","2,500,000,000,000","4,310,631,239,949",,,
Repayment of loans and bonds,Repayment of loans and bonds,Repayment of loans and bonds,"(1,352,122,345,448)","(1,950,000,000,000)","(3,302,122,345,448)",,,
Cost of issuing bonds,Cost of issuing bonds,Cost of issuing bonds,-,"(49,704,593,255)","(49,704,593,255)",,,
Allocation cost of issuing bonds,Allocation cost of issuing bonds,Allocation cost of issuing bonds,-,"36,819,092,531","36,819,092,531",,,
Ending balance,Ending balance,Ending balance,"1,659,989,132,292","3,612,091,050,037","5,272,080,182,329",,,
