row_label_raw,row_label_full,col_0,Buildings and structures,Machinery and equipment,Means of transportation,Office equipment,VND Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Means of transportation,numeric__Office equipment,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,,,
Beginning balance,Beginning balance,Beginning balance,"1,403,328,285","774,899,200","2,339,814,218","13,906,182,415","18,424,224,118",,,,,
New purchase for the year,New purchase for the year,New purchase for the year,-,"505,000,000",-,"1,055,880,000","1,560,880,000",,,,,
Disposal for the year,Disposal for the year,Disposal for the year,-,-,-,"(404,696,000)","(404,696,000)",,,,,
Ending balance,Ending balance,Ending balance,"1,403,328,285","1,279,899,200","2,339,814,218","14,557,366,415","19,580,408,118",,,,,
In which: Fully depreciated,In which: Fully depreciated,In which: Fully depreciated,-,"558,209,191","790,363,091","12,538,002,000","13,886,574,282",,,,,
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,,,,,
Beginning balance,Beginning balance,Beginning balance,"(954,262,877)","(670,034,920)","(1,217,799,113)","(12,360,775,186)","(15,202,872,096)",,,,,
Depreciation for the year,Depreciation for the year,Depreciation for the year,"(56,133,131)","(142,339,525)","(271,830,121)","(1,272,536,815)","(1,742,839,592)",,,,,
Disposal for the year,Disposal for the year,Disposal for the year,-,-,-,"356,650,139","356,650,139",,,,,
Ending balance,Ending balance,Ending balance,"(1,010,396,008)","(812,374,445)","(1,489,629,234)","(13,276,661,862)","(16,589,061,549)",,,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,,
Beginning balance,Beginning balance,Beginning balance,"449,065,408","104,864,280","1,122,015,105","1,545,407,229","3,221,352,022",,,,,
Ending balance,Ending balance,Ending balance,"392,932,277","467,524,755","850,184,984","1,280,704,553","2,991,346,569",,,,,
