row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ lợi ích %,Quyền biểu quyết %,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích %,numeric__Quyền biểu quyết %
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
"Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty con > Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")",Tỉnh Long An,Xây dựng và bất động sản,"99,96","99,96",,,99.96,99.96
"Công ty Cổ phần Bất động sản Nguyên Sơn (""Nguyên Sơn"")","Công ty con > Công ty Cổ phần Bất động sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bất động sản Nguyên Sơn (""Nguyên Sơn"")","Tp. Hồ Chí Minh (""TPHCM"")",Bất động sản,"87,33","87,33",,,87.33,87.33
"Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty con > Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")",TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty TNHH Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty con > Công ty TNHH Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty TNHH Phát triển Căn hộ Nam Long (""Nam Long ADC"")",TPHCM,Xây dựng và bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty Cổ phần Nam Long Mekong (""Nam Long Mekong"")","Công ty con > Công ty Cổ phần Nam Long Mekong (""Nam Long Mekong"")","Công ty Cổ phần Nam Long Mekong (""Nam Long Mekong"")",Tp. Cần Thơ,Xây dựng và bất động sản,"99,98","99,98",,,99.98,99.98
"Công ty Cổ phần NLG - NNR - HR Fuji (""NLG - NNR - HR Fuji"")","Công ty con > Công ty Cổ phần NLG - NNR - HR Fuji (""NLG - NNR - HR Fuji"")","Công ty Cổ phần NLG - NNR - HR Fuji (""NLG - NNR - HR Fuji"")",TPHCM,Xây dựng và bất động sản,"50,00","50,00",,,50.0,50.0
"Công ty TNHH NNH Kikyo Flora (""Flora"")","Công ty con > Công ty TNHH NNH Kikyo Flora (""Flora"")","Công ty TNHH NNH Kikyo Flora (""Flora"")",TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty TNHH NNH Kikyo Valora (""Valora"")","Công ty con > Công ty TNHH NNH Kikyo Valora (""Valora"")","Công ty TNHH NNH Kikyo Valora (""Valora"")",TPHCM,Bất động sản,"50,00","50,00",,,50.0,50.0
Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty con > Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,TPHCM,Bất động sản,"100,00","100,00",,,100.0,100.0
Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty con > Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,TPHCM,Xây dựng và bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty con > Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")",TPHCM,Dịch vụ,"81,25","81,25",,,81.25,81.25
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty con > Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,TPHCM,Kinh doanh thương mại vật liệu xây dựng,"100,00","100,00",,,100.0,100.0
"Công ty Cổ phần 6D (""6D"")","Công ty con > Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")",TPHCM,Xây dựng và bất động sản,"76,03","76,03",,,76.03,76.03
"Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long (""Sàn Giao Dịch"")","Công ty con > Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long (""Sàn Giao Dịch"")","Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long (""Sàn Giao Dịch"")",TPHCM,Sản giao dịch bất động sản,"100,00","100,00",,,100.0,100.0
"Công ty TNHH MTV Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty con > Công ty TNHH MTV Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty TNHH MTV Dịch vụ Nam Long (""Dịch vụ Nam Long"")",TPHCM,Dịch vụ và xây dựng,"100,00","100,00",,,100.0,100.0
