row_label_raw,row_label_full,col_0,VND,VND_1,VND_2,VND_3,numeric__VND,numeric__VND_1,numeric__VND_2,numeric__VND_3
,,,Beginning balance,Increase,Decrease,Ending balance,,,,
Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,,,,
Value-added tax,Value-added tax,Value-added tax,"96,806,934,133","267,428,568,701","(358,873,529,316)","5,361,973,518",,,,
Others,Others,Others,-,"200,000,000",-,"200,000,000",,,,
TOTAL,TOTAL,TOTAL,"96,806,934,133","267,628,568,701","(358,873,529,316)","5,561,973,518",,,,
Payable,Payable,Payable,Payable,Payable,Payable,Payable,,,,
"Corporate income tax (""CIT"")","Corporate income tax (""CIT"")","Corporate income tax (""CIT"")","30,193,793,555","273,415,289,567","(33,207,110,158)","270,401,972,964",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
Current income tax,Current income tax,Current income tax,"25,936,509,043","260,294,702,572","(15,829,238,651)","270,401,972,964",,,,
Prepayment of CIT based on payment progress of customers,Prepayment of CIT based on payment progress of customers,Prepayment of CIT based on payment progress of customers,"4,257,284,512","13,120,586,995","(17,377,871,507)",-,,,,
Personal income tax,Personal income tax,Personal income tax,"40,071,178,590","54,340,317,621","(67,690,262,875)","26,721,233,336",,,,
Value-added tax (*),Value-added tax (*),Value-added tax (*),-,"638,990,519,307","(638,990,519,307)",-,,,,
Others,Others,Others,"107,349,336","15,123,994,298","(15,231,343,634)",-,,,,
TOTAL,TOTAL,TOTAL,"70,372,321,481","981,870,120,793","(755,119,235,974)","297,123,206,300",,,,
