row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,VNDBeginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__VNDBeginning balance
Other long-term receivables (Note 9),Other long-term receivables (Note 9),Other long-term receivables (Note 9),Other long-term receivables (Note 9),Other long-term receivables (Note 9),Other long-term receivables (Note 9),Other long-term receivables (Note 9),,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Deposit,"3,061,619,905","3,061,619,905",,,,
Tan Hiep,Tan Hiep,Tan Hiep,Related party,Deposit,"567,000,000","567,000,000",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Deposit,"510,121,365","163,636,365",,,,
Anabuki,Anabuki,Anabuki,Related party,Deposit,"110,000,000","110,000,000",,,,
Nam Long Services,Nam Long Services,Nam Long Services,Subsidiary,Deposit,-,"1,891,500,000",,,,
,,,,,"4,248,741,270","5,793,756,270",,,,
