row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư Xây dựng cơ bản,Quỹ hỗ trợ xếp xếp doanh nghiệp,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư Xây dựng cơ bản,numeric__Quỹ hỗ trợ xếp xếp doanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,26.166.499.106.975,1.313.108.411.701,44.056.973.572,98.298.205.107,3.823.883.615,4.652.886.968.161,980.050.000,32.279.653.599.131,26166499106975.0,1313108411701.0,44056973572.0,98298205107.0,3823883615.0,4652886968161.0,980050000.0,32279653599131.0
Tăng từ kết chuyển nguồn,Tăng từ kết chuyển nguồn,Tăng từ kết chuyển nguồn,-,2.876.530.686.463,-,35.250.526.400,-,37.982.452.059,-,2.949.763.664.922,,2876530686463.0,,35250526400.0,,37982452059.0,,2949763664922.0
Giảm do kết chuyển nguồn,Giảm do kết chuyển nguồn,Giảm do kết chuyển nguồn,-,-,-,-,-,(50.593.171.855),-,(50.593.171.855),,,,,,-50593171855.0,,-50593171855.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,727.051.893.236,-,-,727.051.893.236,,,,,727051893236.0,,,727051893236.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,109.431.016.777,-,12.159.001.864,(121.590.018.641),-,-,-,,109431016777.0,,12159001864.0,-121590018641.0,,,
Bàn giao tài sản Nhà nước,Bàn giao tài sản Nhà nước,Bàn giao tài sản Nhà nước,-,(283.880.087.145),-,-,(323.000.000.000),-,-,(606.880.087.145),,-283880087145.0,,,-323000000000.0,,,-606880087145.0
Tăng quỹ trong năm,Tăng quỹ trong năm,Tăng quỹ trong năm,-,760.405.422,-,1.273.026.562,-,1.383.807.306,-,3.417.239.290,,760405422.0,,1273026562.0,,1383807306.0,,3417239290.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(15.198.514.178),(25.508.328.471),-,(400.784),-,(40.707.243.433),,,-15198514178.0,-25508328471.0,,-400784.0,,-40707243433.0
Nộp ngân sách Nhà nước,Nộp ngân sách Nhà nước,Nộp ngân sách Nhà nước,-,-,-,-,(271.782.702.370),-,-,(271.782.702.370),,,,,-271782702370.0,,,-271782702370.0
