row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.035.426.884.770,-,-,1.035.426.884.770,1035426884770.0,,,1035426884770.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.225.327.133.372,6.415.810.529,-,1.231.742.943.901,1225327133372.0,6415810529.0,,1231742943901.0
Các khoản cho vay,Tại ngày 31/12/2015 > Các khoản cho vay,Các khoản cho vay,819.046.211.925,256.000.000.000,-,1.075.046.211.925,819046211925.0,256000000000.0,,1075046211925.0
Chứng khoán kinh doanh,Tại ngày 31/12/2015 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,17.672.063.553,-,-,17.672.063.553,17672063553.0,,,17672063553.0
Đầu tư nằm giữ đến ngày đáo hạn,Tại ngày 31/12/2015 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,505.000.000.000,,,,505000000000.0,,,
Đầu tư dài hạn,Tại ngày 31/12/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,524.925.724.880,-,524.925.724.880,,524925724880.0,,524925724880.0
,,,3.602.472.293.620,787.341.535.409,-,3.884.813.829.029,3602472293620.0,787341535409.0,,3884813829029.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.358.831.339.543,-,-,1.358.831.339.543,1358831339543.0,,,1358831339543.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.098.246.744.004,7.995.494.507.369,-,9.093.741.251.373,1098246744004.0,7995494507369.0,,9093741251373.0
Các khoản cho vay,Tại ngày 01/01/2015 > Các khoản cho vay,Các khoản cho vay,137.324.897.483,1.053.929.382.132,-,1.191.254.279.615,137324897483.0,1053929382132.0,,1191254279615.0
Đầu tư nằm giữ đến ngày đáo hạn,Tại ngày 01/01/2015 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,1.167.500.000.000,,,,1167500000000.0,,,
Đầu tư dài hạn,Tại ngày 01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,864.760.290.224,-,864.760.290.224,,864760290224.0,,864760290224.0
,,,3.761.902.981.030,9.914.184.179.725,-,12.508.587.160.755,3761902981030.0,9914184179725.0,,12508587160755.0
