row_label_raw,row_label_full,Nhóm,Loại,Tỷ lệ dự phòng cụ thể,numeric__Loại,numeric__Tỷ lệ dự phòng cụ thể
1,1,1,Ng đủ tiêu chuẩn,0%,,0.0
2,2,2,Ng cần chú ý,5%,,0.05
3,3,3,Ng dưới tiêu chuẩn,20%,,0.2
4,4,4,Ng nghi ngờ,50%,,0.5
5,5,5,Ng có khả năng mất vốn,100%,,1.0
