row_label_raw,row_label_full,Mã Số,Khoản mục,Số tiền,numeric__Khoản mục,numeric__Số tiền
,,,a) Băng Cân đối kế toán,a) Băng Cân đối kế toán,,
121,121,121,Đầu tư ngắn hạn,1.048.824.897.483,,1048824897483.0
131,131,131,Phải thu của khách hàng,1.099.763.572,,1099763572.0
132,132,132,Trả trước cho người bán,77.218.240.443,,77218240443.0
133,133,133,Phải thu nội bộ ngắn hạn,813.930.814.559,,813930814559.0
317,317,317,Phải trả nội bộ,374.313.720,,374313720.0
135,135,135,Các khoản phải thu khác,296.999.623.432,,296999623432.0
158,158,158,Tài sản ngắn hạn khác,3.864.606.999,,3864606999.0
139,139,139,Dự phòng phải thu ngắn hạn khó đòi (*),(17.648.064.558),,-17648064558.0
154,154,154,Thuế và các khoản khác phải thu Nhà nước,1.229.067.946,,1229067946.0
230,230,230,Chi phí xây dựng cơ bản dở dang,183.943.512.037,,183943512037.0
212,212,212,Vốn kinh doanh ở đơn vị trực thuộc,7.809.288.975.879,,7809288975879.0
213,213,213,Phải thu dài hạn nội bộ,3.000.000.000,,3000000000.0
218,218,218,Phải thu dài hạn khác,276.745.972.407,,276745972407.0
251,251,251,Đầu tư vào công ty con,18.882.789.353.573,,18882789353573.0
258,258,258,Đầu tư dài hạn khác,1.919.648.784.356,,1919648784356.0
259,259,259,Dự phòng giảm giá đầu tư tài chính dài hạn,(1.349.329.859.177),,-1349329859177.0
