row_label_raw,row_label_full,Khoản mục,Giá gốcVND,Dự phòngVND,Giá trị tài sản thuầnVND,numeric__Giá gốcVND,numeric__Dự phòngVND,numeric__Giá trị tài sản thuầnVND
- Tiền gửi tại các tổ chức tín dụng,- Tiền gửi tại các tổ chức tín dụng,- Tiền gửi tại các tổ chức tín dụng,599.500.000.000,(599.500.000.000),-,599500000000.0,-599500000000.0,
- Chứng khoán kinh doanh,- Chứng khoán kinh doanh,- Chứng khoán kinh doanh,156.588.389.298,(138.634.731.445),17.953.657.853,156588389298.0,-138634731445.0,17953657853.0
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,1.320.448.455.081,(627.802.354.420),692.646.100.661,1320448455081.0,-627802354420.0,692646100661.0
- Đầu tư dài hạn,- Đầu tư dài hạn,- Đầu tư dài hạn,17.800.000.000,(17.800.000.000),-,17800000000.0,-17800000000.0,
- Tài sản cố định hữu hình,- Tài sản cố định hữu hình,- Tài sản cố định hữu hình,10.010.728.038,-,10.010.728.038,10010728038.0,,10010728038.0
- Tài sản cố định vô hình (*),- Tài sản cố định vô hình (*),- Tài sản cố định vô hình (*),15.488.041.476,-,15.488.041.476,15488041476.0,,15488041476.0
- Tài sản là nợ phải thu khác(**),- Tài sản là nợ phải thu khác(**),- Tài sản là nợ phải thu khác(**),37.654.815.974,(2.247.394.212),35.407.421.762,37654815974.0,-2247394212.0,35407421762.0
,,,2.157.490.429.867,(1.385.984.480.077),771.505.949.790,2157490429867.0,-1385984480077.0,771505949790.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,Giá trị ghi sốVND,,,
- Tiền gửi tại các tổ chức tín dụng,Nợ phải trả > - Tiền gửi tại các tổ chức tín dụng,- Tiền gửi tại các tổ chức tín dụng,,,91.666.666.667,,,91666666667.0
- Tiền gửi khách hàng,Nợ phải trả > - Tiền gửi khách hàng,- Tiền gửi khách hàng,,,836.226.147.280,,,836226147280.0
- Nợ phải trả khác,Nợ phải trả > - Nợ phải trả khác,- Nợ phải trả khác,,,441.271.566.941,,,441271566941.0
,,,,,1.369.164.380.888,,,1369164380888.0
Tài sản và nợ phải trả thuần có thể xác định theo giá trị ghi số,Nợ phải trả > Tài sản và nợ phải trả thuần có thể xác định theo giá trị ghi số,Tài sản và nợ phải trả thuần có thể xác định theo giá trị ghi số,,,(597.658.431.098),,,-597658431098.0
Giá phí khoản đầu tư,Nợ phải trả > Giá phí khoản đầu tư,Giá phí khoản đầu tư,,,1.137.454.784.658,,,1137454784658.0
- Giá trị đầu tư vào Công ty con,Nợ phải trả > - Giá trị đầu tư vào Công ty con,- Giá trị đầu tư vào Công ty con,,,1.088.970.707.414,,,1088970707414.0
- Vốn kinh doanh (nguồn phân phối Quỹ Đầu tư phát triển),Nợ phải trả > - Vốn kinh doanh (nguồn phân phối Quỹ Đầu tư phát triển),- Vốn kinh doanh (nguồn phân phối Quỹ Đầu tư phát triển),,,48.484.077.244,,,48484077244.0
Giá trị chênh lệch giữa khoản đầu tư và giá trị hợp lý ghi nhận vào chi phí tài chính,Nợ phải trả > Giá trị chênh lệch giữa khoản đầu tư và giá trị hợp lý ghi nhận vào chi phí tài chính,Giá trị chênh lệch giữa khoản đầu tư và giá trị hợp lý ghi nhận vào chi phí tài chính,,,1.735.113.215.756,,,1735113215756.0
Giá trị hoàn nhập khoản dự phòng đầu tư tài chính vào kết quả kinh doanh,Nợ phải trả > Giá trị hoàn nhập khoản dự phòng đầu tư tài chính vào kết quả kinh doanh,Giá trị hoàn nhập khoản dự phòng đầu tư tài chính vào kết quả kinh doanh,,,(1.088.970.707.414),,,-1088970707414.0
Lỗ từ hoạt động sáp nhập được phân ánh vào kết quả hoạt động kinh doanh,Nợ phải trả > Lỗ từ hoạt động sáp nhập được phân ánh vào kết quả hoạt động kinh doanh,Lỗ từ hoạt động sáp nhập được phân ánh vào kết quả hoạt động kinh doanh,,,646.142.508.342,,,646142508342.0
