row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.142.830.103,3.744.612.945,20.991.432.396,2.337.771.477,47.216.646.921,20142830103.0,3744612945.0,20991432396.0,2337771477.0,47216646921.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,844.090.310,1.128.235.818,-,1.972.326.128,,844090310.0,1128235818.0,,1972326128.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,121.390.847.889,-,-,58.992.102.385,180.382.950.274,121390847889.0,,,58992102385.0,180382950274.0
- Tăng do sáp nhập doanh nghiệp,Nguyên giá > - Tăng do sáp nhập doanh nghiệp,- Tăng do sáp nhập doanh nghiệp,15.112.335.765,-,1.458.633.143,895.572.926,17.466.541.834,15112335765.0,,1458633143.0,895572926.0,17466541834.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,156.646.013.757,4.588.703.255,23.578.301.357,62.225.446.788,247.038.465.157,156646013757.0,4588703255.0,23578301357.0,62225446788.0,247038465157.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.575.887.032,3.322.462.821,16.648.729.413,2.175.656.493,36.722.735.759,14575887032.0,3322462821.0,16648729413.0,2175656493.0,36722735759.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.858.240.768,352.832.422,1.081.388.306,8.310.582.320,12.603.043.816,2858240768.0,352832422.0,1081388306.0,8310582320.0,12603043816.0
- Tăng do sáp nhập doanh nghiệp,Giá trị hao mòn lũy kế > - Tăng do sáp nhập doanh nghiệp,- Tăng do sáp nhập doanh nghiệp,5.101.607.727,,1.458.633.143,895.572.926,7.455.813.796,5101607727.0,,1458633143.0,895572926.0,7455813796.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.535.735.527,3.675.295.243,19.188.750.862,11.381.811.739,56.781.593.371,22535735527.0,3675295243.0,19188750862.0,11381811739.0,56781593371.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.566.943.071,422.150.124,4.342.702.983,162.114.984,10.493.911.162,5566943071.0,422150124.0,4342702983.0,162114984.0,10493911162.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,134.110.278.230,913.408.012,4.389.550.495,50.843.635.049,190.256.871.786,134110278230.0,913408012.0,4389550495.0,50843635049.0,190256871786.0
