row_label_raw,row_label_full,Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,31/12/2015 > Giá gốcVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,31/12/2015 > Giá trị hợp lýVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,31/12/2015 > Dự phòngVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,01/01/2015 > Giá gốcVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,01/01/2015 > Giá trị hợp lýVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,01/01/2015 > Dự phòngVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__31/12/2015 > Giá gốcVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__31/12/2015 > Giá trị hợp lýVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__31/12/2015 > Dự phòngVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__01/01/2015 > Giá gốcVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__01/01/2015 > Giá trị hợp lýVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam,numeric__01/01/2015 > Dự phòngVND > Tổng giá trị cổ phiếu nhận sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam
- Công ty CP Chương Dương (mã CK: CDC),- Công ty CP Chương Dương (mã CK: CDC),- Công ty CP Chương Dương (mã CK: CDC),7.551.104.089,2.488.500.000,(5.062.604.089),-,-,-,7551104089.0,2488500000.0,-5062604089.0,,,
- Công ty CP Đầu tư và Phát triển hạ tầng Thái Bình Dương (Mã CK: PPI),- Công ty CP Đầu tư và Phát triển hạ tầng Thái Bình Dương (Mã CK: PPI),- Công ty CP Đầu tư và Phát triển hạ tầng Thái Bình Dương (Mã CK: PPI),16.506.909.456,4.825.051.100,(11.681.858.356),-,-,-,16506909456.0,4825051100.0,-11681858356.0,,,
- Công ty CP Chiếu xạ An Phú (Mã CK: APC),- Công ty CP Chiếu xạ An Phú (Mã CK: APC),- Công ty CP Chiếu xạ An Phú (Mã CK: APC),65.400,65.400,-,-,-,-,65400.0,65400.0,,,,
- Công ty CP Đầu tư xây dựng Công trình Miền Đông (Mã CK: MDG),- Công ty CP Đầu tư xây dựng Công trình Miền Đông (Mã CK: MDG),- Công ty CP Đầu tư xây dựng Công trình Miền Đông (Mã CK: MDG),11.653.166.943,6.405.821.400,(5.247.345.543),-,-,-,11653166943.0,6405821400.0,-5247345543.0,,,
- Tổng Công ty CP Khoan và dịch vụ khoan Dầu khí (mã CK: PVD),- Tổng Công ty CP Khoan và dịch vụ khoan Dầu khí (mã CK: PVD),- Tổng Công ty CP Khoan và dịch vụ khoan Dầu khí (mã CK: PVD),60.000,60.000,-,-,-,-,60000.0,60000.0,,,,
- Ngân hàng TMCP Quân đội (Mã CK: MBB),- Ngân hàng TMCP Quân đội (Mã CK: MBB),- Ngân hàng TMCP Quân đội (Mã CK: MBB),27.653,27.653,-,-,-,-,27653.0,27653.0,,,,
- Công ty CP Bảo vệ thực vật Sài gòn (mã CK: SPC),- Công ty CP Bảo vệ thực vật Sài gòn (mã CK: SPC),- Công ty CP Bảo vệ thực vật Sài gòn (mã CK: SPC),2.070.000.000,1.053.000.000,(1.017.000.000),-,-,-,2070000000.0,1053000000.0,-1017000000.0,,,
- Công ty CP Phân lân nung chảy Văn Điền (mã CK: VAF),- Công ty CP Phân lân nung chảy Văn Điền (mã CK: VAF),- Công ty CP Phân lân nung chảy Văn Điền (mã CK: VAF),1.200.000.000,336.000.000,(864.000.000),-,-,-,1200000000.0,336000000.0,-864000000.0,,,
- Công ty CP Phát triển đô thị và khu công nghiệp cao su Việt Nam,- Công ty CP Phát triển đô thị và khu công nghiệp cao su Việt Nam,- Công ty CP Phát triển đô thị và khu công nghiệp cao su Việt Nam,817.657.757,566.478.000,(251.179.757),-,-,-,817657757.0,566478000.0,-251179757.0,,,
- Công ty Cổ phần Du lịch Tây Ninh,- Công ty Cổ phần Du lịch Tây Ninh,- Công ty Cổ phần Du lịch Tây Ninh,1.050.000.000,1.050.000.000,-,-,-,-,1050000000.0,1050000000.0,,,,
