row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay khó có khả năng thu hồi > Khách hàng Văn phòng Tập đoàn+ Công ty CP tư vấn XD đô thị - KCN Cao su Việt Nam > + Công ty CP Đầu tư Phát Triển XNK Miền Nam (SIDIMEX)",31/12/2015 > Giá gốcVND > 2.006.627.703.276 > 169.680.107.013327.013.101 > 764.500.000,31/12/2015 > Giá trị có thể thuhồiVND > 654.713.633.106 > 48.205.213.478- > 229.350.000,01/01/2015 > Giá gốcVND > 49.615.509.585 > 49.615.509.585327.013.101 > 764.500.000,01/01/2015 > Giá trị có thể thuhồiVND > 31.967.445.027 > 31.967.445.027- > 382.250.000,numeric__31/12/2015 > Giá gốcVND > 2.006.627.703.276 > 169.680.107.013327.013.101 > 764.500.000,numeric__31/12/2015 > Giá trị có thể thuhồiVND > 654.713.633.106 > 48.205.213.478- > 229.350.000,numeric__01/01/2015 > Giá gốcVND > 49.615.509.585 > 49.615.509.585327.013.101 > 764.500.000,numeric__01/01/2015 > Giá trị có thể thuhồiVND > 31.967.445.027 > 31.967.445.027- > 382.250.000
+ Công ty CP Chứng Khoán Cao Su,+ Công ty CP Chứng Khoán Cao Su,+ Công ty CP Chứng Khoán Cao Su,9.807.181.532,1.304.132.178,8.991.899.709,8.318.195.027,9807181532.0,1304132178.0,8991899709.0,8318195027.0
+ Tổng Công ty Xây dựng Miền Trung,+ Tổng Công ty Xây dựng Miền Trung,+ Tổng Công ty Xây dựng Miền Trung,41.512.096.775,3.956.096.775,39.532.096.775,23.267.000.000,41512096775.0,3956096775.0,39532096775.0,23267000000.0
+ Công ty Cổ phần Cao su Phú Riềng Kratie,+ Công ty Cổ phần Cao su Phú Riềng Kratie,+ Công ty Cổ phần Cao su Phú Riềng Kratie,96.546.983.644,42.441.816.758,-,-,96546983644.0,42441816758.0,,
+ Công ty Cổ phần Cơ khí Cao su,+ Công ty Cổ phần Cơ khí Cao su,+ Công ty Cổ phần Cơ khí Cao su,4.635.416.667,135.416.667,-,-,4635416667.0,135416667.0,,
+ Công ty CP Thể Thao Ngôi Sao Geru,+ Công ty CP Thể Thao Ngôi Sao Geru,+ Công ty CP Thể Thao Ngôi Sao Geru,8.000.000.000,-,-,-,8000000000.0,,,
+ Công ty Cổ phần Xây dựng địa ốc cao su,+ Công ty Cổ phần Xây dựng địa ốc cao su,+ Công ty Cổ phần Xây dựng địa ốc cao su,8.086.915.294,138.401.100,-,-,8086915294.0,138401100.0,,
Khách hàng phát sinh từ sáp nhậpCông ty Tài chính Cao su,Khách hàng phát sinh từ sáp nhậpCông ty Tài chính Cao su,Khách hàng phát sinh từ sáp nhậpCông ty Tài chính Cao su,1.836.947.596.263,606.508.419.628,-,-,1836947596263.0,606508419628.0,,
+ Khoản tiền gửi có kỳ hạn tại Công ty Cho thuê tài chính II - Ngân hàng Nông nghiệp & PT Nông thôn\( ^{(1)} \),+ Khoản tiền gửi có kỳ hạn tại Công ty Cho thuê tài chính II - Ngân hàng Nông nghiệp & PT Nông thôn\( ^{(1)} \),+ Khoản tiền gửi có kỳ hạn tại Công ty Cho thuê tài chính II - Ngân hàng Nông nghiệp & PT Nông thôn\( ^{(1)} \),599.500.000.000,-,-,-,599500000000.0,,,
+ Các khách hàng cho vay\( ^{(2)} \),+ Các khách hàng cho vay\( ^{(2)} \),+ Các khách hàng cho vay\( ^{(2)} \),1.182.935.927.297,601.146.479.628,-,-,1182935927297.0,601146479628.0,,
+ Các khoản cho vay theo hình thức Repo cổ phiếu\( ^{(3)} \),+ Các khoản cho vay theo hình thức Repo cổ phiếu\( ^{(3)} \),+ Các khoản cho vay theo hình thức Repo cổ phiếu\( ^{(3)} \),52.264.274.754,5.361.940.000,-,-,52264274754.0,5361940000.0,,
+ Phải thu khác,+ Phải thu khác,+ Phải thu khác,2.247.394.212,-,-,-,2247394212.0,,,
,,,2.006.627.703.276,654.713.633.106,49.615.509.585,31.967.445.027,2006627703276.0,654713633106.0,49615509585.0,31967445027.0
