row_label_raw,row_label_full,Mã Số,Khoản mục,Số tiền,Thay đổi,numeric__Khoản mục,numeric__Số tiền,numeric__Thay đổi
320,320,320,Vay và nợ thuê tài chính ngắn hạn,109.953.121.900,-,,109953121900.0,
311,311,311,Phải trả người bán ngắn hạn,71.291.690.729,-,,71291690729.0,
312,312,312,Người mua trả tiền trước ngắn hạn,16.097.402.450,-,,16097402450.0,
313,313,313,Thuế và các khoản phải nộp Nhà nước,6.230.071.462,-,,6230071462.0,
314,314,314,Phải trả người lao động,15.424.876.275,-,,15424876275.0,
315,315,315,Chỉ phí phải trả ngắn hạn,16.811.938.078,-,,16811938078.0,
322,322,322,Quỹ khen thưởng phúc lợi,139.707.867.143,-,,139707867143.0,
337,337,337,Phải trả dài hạn khác,233.284.384.028,-,,233284384028.0,
338,338,338,Vay và nợ thuê tài chính dài hạn,589.680.931.536,-,,589680931536.0,
318,318,318,Doanh thu chưa thực hiện ngắn hạn,103.333.332,-,,103333332.0,
411,411,411,Vốn góp của chủ sở hữu,26.166.499.106.975,-,,26166499106975.0,
418,418,418,Quỹ đầu tư phát triển,4.015.950.433.218,-,,4015950433218.0,
,,,,,(28.858.459.394),,,-28858459394.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,150.330.890.856,28.858.459.394,,150330890856.0,28858459394.0
421,421,421,Lợi nhuận sau thuế chưa phân phối,2.575.714.715,-,,2575714715.0,
421b,421b,421b,LNST chưa phân phối kỳ này,2.575.714.715,-,,2575714715.0,
422,422,422,Nguồn vốn đầu tư xây dựng cơ bản,4.641.659.654.887,-,,4641659654887.0,
419,419,419,Quỹ hỗ trợ xếp xếp doanh nghiệp,980.050.000,-,,980050000.0,
