row_label_raw,row_label_full,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
700.000.000.000,700.000.000.000,700.000.000.000,177.876.869.236,(80.162.090.861),125.543.277.919,54.374.900.005,1.452.263.283.294,561.728.789.070,2.991.625.028.663,177876869236.0,-80162090861.0,125543277919.0,54374900005.0,1452263283294.0,561728789070.0,2991625028663.0
684.628.500.000,684.628.500.000,684.628.500.000,(177.876.869.236),-,-,-,(506.751.630.764),-,-,-177876869236.0,,,,-506751630764.0,,
15.371.500.000,15.371.500.000,15.371.500.000,-,-,-,-,-,-,15.371.500.000,,,,,,,15371500000.0
-,-,-,-,-,-,-,702.856.553.747,107.518.224.902,810.374.778.649,,,,,702856553747.0,107518224902.0,810374778649.0
-,-,-,-,-,-,118.214.587.107,(118.207.799.440),(6.787.667),-,,,,118214587107.0,-118207799440.0,-6787667.0,
-,-,-,-,-,-,-,(23.588.616.084),-,(23.588.616.084),,,,,-23588616084.0,,-23588616084.0
-,-,-,-,-,-,-,-,(74.276.375.000),(74.276.375.000),,,,,,-74276375000.0,-74276375000.0
-,-,-,-,-,-,(6.171.656.054),-,-,(6.171.656.054),,,,-6171656054.0,,,-6171656054.0
-,-,-,-,-,10.137.694.369,-,-,1.138.551.523,11.276.245.892,,,10137694369.0,,,1138551523.0,11276245892.0
1.400.000.000.000,1.400.000.000.000,1.400.000.000.000,-,(80.162.090.861),135.680.972.288,166.417.831.058,1.506.571.790.753,596.102.402.828,3.724.610.906.066,,-80162090861.0,135680972288.0,166417831058.0,1506571790753.0,596102402828.0,3724610906066.0
-,-,-,-,-,-,-,440.855.481.263,3.657.841.954,444.513.323.217,,,,,440855481263.0,3657841954.0,444513323217.0
600.000.000.000,600.000.000.000,600.000.000.000,2.360.944.843.299,-,-,-,-,-,2.960.944.843.299,2360944843299.0,,,,,,2960944843299.0
-,-,-,-,-,-,-,-,2.307.700.000,2.307.700.000,,,,,,2307700000.0,2307700000.0
-,-,-,-,-,-,2.557.440.733,(2.538.114.679),(19.326.054),-,,,,2557440733.0,-2538114679.0,-19326054.0,
-,-,-,-,-,-,-,(1.467.346.246),(10.572.981),(1.477.919.227),,,,,-1467346246.0,-10572981.0,-1477919227.0
-,-,-,-,-,-,-,(508.044.944.046),(363.790.600.185),(871.835.544.231),,,,,-508044944046.0,-363790600185.0,-871835544231.0
-,-,-,-,-,-,-,(1.089.239.950.000),(119.966.986.467),(1.209.206.936.467),,,,,-1089239950000.0,-119966986467.0,-1209206936467.0
-,-,-,-,-,-,(27.105.580.862),-,-,(27.105.580.862),,,,-27105580862.0,,,-27105580862.0
-,-,-,-,-,(833.471.377),-,-,90.167.040,(743.304.337),,,-833471377.0,,,90167040.0,-743304337.0
2.000.000.000.000,2.000.000.000.000,2.000.000.000.000,2.360.944.843.299,(80.162.090.861),134.847.500.911,141.869.690.929,346.136.917.045,118.370.626.135,5.022.007.487.458,2360944843299.0,-80162090861.0,134847500911.0,141869690929.0,346136917045.0,118370626135.0,5022007487458.0
