row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụ vàdụng cụVND,KhácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụ vàdụng cụVND,numeric__KhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,41.301.236.559,51.446.625.329,15.818.267.010,108.566.128.898,41301236559.0,51446625329.0,15818267010.0,108566128898.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,86.370.306.077,11.441.237.827,97.811.543.904,,86370306077.0,11441237827.0,97811543904.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(3.234.821.556),(40.476.362.306),(13.579.915.954),(57.291.099.816),-3234821556.0,-40476362306.0,-13579915954.0,-57291099816.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,38.066.415.003,97.340.569.100,13.679.588.883,149.086.572.986,38066415003.0,97340569100.0,13679588883.0,149086572986.0
