row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,740.022.221.240,1.298.346.825.726,166.682.496.165,21.342.494.541,2.226.394.037.672,740022221240.0,1298346825726.0,166682496165.0,21342494541.0,2226394037672.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,29.297.186.543,31.375.526.164,10.176.561.741,1.092.584.183,71.941.858.631,29297186543.0,31375526164.0,10176561741.0,1092584183.0,71941858631.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,7.420.727.274,47.882.447.720,12.601.104.080,-,67.904.279.074,7420727274.0,47882447720.0,12601104080.0,,67904279074.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.087.385.000),(3.654.318.182),(66.439.084),(6.808.142.266),,-3087385000.0,-3654318182.0,-66439084.0,-6808142266.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(11.072.100),-,-,(574.740),(11.646.840),-11072100.0,,,-574740.0,-11646840.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,776.729.062.957,1.374.517.414.610,185.805.843.804,22.368.064.900,2.359.420.386.271,776729062957.0,1374517414610.0,185805843804.0,22368064900.0,2359420386271.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,333.016.644.723,874.119.913.973,115.643.729.619,16.567.019.168,1.339.347.307.483,333016644723.0,874119913973.0,115643729619.0,16567019168.0,1339347307483.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,35.036.312.904,119.176.408.998,15.826.139.139,1.440.315.776,171.479.176.817,35036312904.0,119176408998.0,15826139139.0,1440315776.0,171479176817.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.947.146.736),(2.605.852.661),(44.620.902),(5.597.620.299),,-2947146736.0,-2605852661.0,-44620902.0,-5597620299.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(4.006.110),-,-,(574.740),(4.580.850),-4006110.0,,,-574740.0,-4580850.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,368.048.951.517,990.349.176.235,128.864.016.097,17.962.139.302,1.505.224.283.151,368048951517.0,990349176235.0,128864016097.0,17962139302.0,1505224283151.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,407.005.576.517,424.226.911.753,51.038.766.546,4.775.475.373,887.046.730.189,407005576517.0,424226911753.0,51038766546.0,4775475373.0,887046730189.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,408.680.111.440,384.168.238.375,56.941.827.707,4.405.925.598,854.196.103.120,408680111440.0,384168238375.0,56941827707.0,4405925598.0,854196103120.0
