row_label_raw,row_label_full,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2019 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2018 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,31/12/2019 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,1/1/2019 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2019 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2018 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__31/12/2019 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__1/1/2019 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau
Khoản vay 1,Khoản vay 1,Khoản vay 1,USD,"3,1% - 3,5%","2,5% - 3,8%",1.162.548.685.149,1.284.562.678.900,,,,1162548685149.0,1284562678900.0
Khoản vay 2,Khoản vay 2,Khoản vay 2,USD,"3,1%","2,8% - 3,0%",369.426.614.000,1.255.643.153.040,,0.031,,369426614000.0,1255643153040.0
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,,,,,
Khoản vay 1,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,USD,"3,1% - 3,5%","2,5% - 3,8%",147.256.582.740,330.832.858.400,,,,147256582740.0,330832858400.0
Khoản vay 2,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 2,Khoản vay 2,USD,"3,1%","3,1%",127.348.332.915,75.143.988.000,,0.031,0.031,127348332915.0,75143988000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,USD,"3,1%","2,5% - 3,4%",415.126.493.960,214.979.090.320,,0.031,,415126493960.0,214979090320.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,USD,-,"3,4%",-,131.608.102.644,,,0.034,,131608102644.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,USD,-,"3,4%",-,79.816.120.000,,,0.034,,79816120000.0
Ngân hàng Citibank – Bắc Mỹ,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,USD,-,0%,-,4.640.000.000,,,0.0,,4640000000.0
,,,,,,2.221.706.708.764,3.377.225.991.304,,,,2221706708764.0,3377225991304.0
