row_label_raw,row_label_full,col_0,Quyền sử dụngđất không xácđịnh thời hạnVND,Quyền sử dụngđất có xác địnhthời hạnVND,Phần mềmmáy tínhVND,TổngVND,numeric__Quyền sử dụngđất không xácđịnh thời hạnVND,numeric__Quyền sử dụngđất có xác địnhthời hạnVND,numeric__Phần mềmmáy tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.242.562.400,119.789.500.098,30.350.276.330,169.382.338.828,19242562400.0,119789500098.0,30350276330.0,169382338828.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(13.095.140),-,-,(13.095.140),-13095140.0,,,-13095140.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.229.467.260,119.789.500.098,30.350.276.330,169.369.243.688,19229467260.0,119789500098.0,30350276330.0,169369243688.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,7.230.691.058,9.430.714.127,16.661.405.185,,7230691058.0,9430714127.0,16661405185.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.448.430.902,2.304.207.859,4.752.638.761,,2448430902.0,2304207859.0,4752638761.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,9.679.121.960,11.734.921.986,21.414.043.946,,9679121960.0,11734921986.0,21414043946.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.242.562.400,112.558.809.040,20.919.562.203,152.720.933.643,19242562400.0,112558809040.0,20919562203.0,152720933643.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.229.467.260,110.110.378.138,18.615.354.344,147.955.199.742,19229467260.0,110110378138.0,18615354344.0,147955199742.0
