row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,-,9.478.991.146.967,7.391.860.424.552,54.497.342.365,-,16.925.348.913.884,,9478991146967.0,7391860424552.0,54497342365.0,,16925348913884.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,1.461.016.606.188,8.491.410.347.446,6.001.656.509.014,209.447.066.041,(16.163.530.528.689),-,1461016606188.0,8491410347446.0,6001656509014.0,209447066041.0,-16163530528689.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.461.016.606.188,17.970.401.494.413,13.393.516.933.566,263.944.408.406,(16.163.530.528.689),16.925.348.913.884,1461016606188.0,17970401494413.0,13393516933566.0,263944408406.0,-16163530528689.0,16925348913884.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(3.287.251.550),958.942.153.206,166.269.582.666,18.778.349.407,(36.728.749.646),1.103.974.084.083,-3287251550.0,958942153206.0,166269582666.0,18778349407.0,-36728749646.0,1103974084083.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,129.506.135.625,,,,,,129506135625.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(337.482.864.690),,,,,,-337482864690.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,6.304.439.545,,,,,,6304439545.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,902.301.794.563,,,,,,902301794563.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,3.240.963.824,,,,,,3240963824.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(3.522.995.083),,,,,,-3522995083.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(91.644.984.655),,,,,,-91644984655.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,810.374.778.649,,,,,,810374778649.0
