row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp/khẩu trừ,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp/khẩu trừ,numeric__Số dư cuối năm
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,3.307,28.243,30.212,1.338,3307.0,28243.0,30212.0,1338.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,715,1.230,1.795,150,715.0,1230.0,1795.0,150.0
3. Các loại thuế khác,3. Các loại thuế khác,3. Các loại thuế khác,3.956,49.316,49.245,4.027,3956.0,49316.0,49245.0,4027.0
Tổng cộng,Tổng cộng,Tổng cộng,7.978,78.789,81.252,5.515,7978.0,78789.0,81252.0,5515.0
