row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tàiVND,Thiết bị quản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tàiVND,numeric__Thiết bị quản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,21.784.803.233,616.647.000,50.965.529.359,1.514.266.226,74.881.245.818,21784803233.0,616647000.0,50965529359.0,1514266226.0,74881245818.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,331.130.000,-,-,53.318.182,384.448.182,331130000.0,,,53318182.0,384448182.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,22.115.933.233,616.647.000,50.965.529.359,1.567.584.408,75.265.694.000,22115933233.0,616647000.0,50965529359.0,1567584408.0,75265694000.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(15.526.294.743),(483.653.275),(30.513.204.932),(1.415.332.840),(47.938.485.790),-15526294743.0,-483653275.0,-30513204932.0,-1415332840.0,-47938485790.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(556.315.664),(30.333.336),(2.958.044.112),(74.382.892),(3.619.076.004),-556315664.0,-30333336.0,-2958044112.0,-74382892.0,-3619076004.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(16.082.610.407),(513.986.611),(33.471.249.044),(1.489.715.732),(51.557.561.794),-16082610407.0,-513986611.0,-33471249044.0,-1489715732.0,-51557561794.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,6.258.508.490,132.993.725,20.452.324.427,98.933.386,26.942.760.028,6258508490.0,132993725.0,20452324427.0,98933386.0,26942760028.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,6.033.322.826,102.660.389,17.494.280.315,77.868.676,23.708.132.206,6033322826.0,102660389.0,17494280315.0,77868676.0,23708132206.0
