row_label_raw,row_label_full,col_0,col_1,Tại ngày 31/12/2024 > Giá gốc,Tại ngày 31/12/2024 > Giá trị hợp lý,Tại ngày 31/12/2024 > Dự phòng,Tại ngày 31/12/2023 > Giá gốc,Tại ngày 31/12/2023 > Giá trị hợp lý,Tại ngày 31/12/2023 > Dự phòng,numeric__col_1,numeric__Tại ngày 31/12/2024 > Giá gốc,numeric__Tại ngày 31/12/2024 > Giá trị hợp lý,numeric__Tại ngày 31/12/2024 > Dự phòng,numeric__Tại ngày 31/12/2023 > Giá gốc,numeric__Tại ngày 31/12/2023 > Giá trị hợp lý,numeric__Tại ngày 31/12/2023 > Dự phòng
(d),(d),(d),Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,
(d),(d) > (d),(d),Công ty Cổ phần Logistics Cảng Đà Nẵng,14.430.000.000,45.288.000.000,-,14.430.000.000,39.960.000.000,-,,14430000000.0,45288000000.0,,14430000000.0,39960000000.0,
(d),(d) > (d),(d),Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ (ii),-,-,-,80.991.207.286,70.561.600.000,-,,,,,80991207286.0,70561600000.0,
(d),(d) > (d),(d),Công ty TNHH Tuyến Container T.S. Hà Nội,2.002.500.000,(*),-,2.002.500.000,(*),-,,2002500000.0,,,2002500000.0,,
(d),(d) > (d),(d),Công ty Cổ phần Cảng VIMC Đình Vũ,392.492.736.000,(*),(44.930.880.588),392.492.736.000,(*),(35.083.924.800),,392492736000.0,,-44930880588.0,392492736000.0,,-35083924800.0
(d),(d) > (d),(d),Công ty TNHH Cảng Nam Hải Đình Vũ (i),Không áp dụng,Không áp dụng,Không áp dụng,1.004.816.916.396,(*),(6.807.917.100),,,,,1004816916396.0,,-6807917100.0
(d),(d) > (d),(d),Công ty Cổ phần Vận tải Biển Vinaship (iii),365.107.488.450,301.991.928.000,-,-,-,-,,365107488450.0,301991928000.0,,,,
(d),(d) > (d),(d),,774.032.724.450,(*),(44.930.880.588),1.494.733.359.682,(*),(41.891.841.900),,774032724450.0,,-44930880588.0,1494733359682.0,,-41891841900.0
(e),(e),(e),Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,
(e),(e) > (e),(e),Công ty TNHH MSC Việt Nam,155.000.000,(*),-,155.000.000,(*),-,,155000000.0,,,155000000.0,,
