row_label_raw,row_label_full,(a),Chứng khoán kinh doanhNgân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Tại ngày 31/12/2024 > Giá gốc VND > 158.421.092.245,Tại ngày 31/12/2024 > Giá trị hợp lý VND > 168.635.680.000,Tại ngày 31/12/2024 > Dự phòng VND > -,Tại ngày 31/12/2023 > Giá gốc VND > -,Tại ngày 31/12/2023 > Giá trị hợp lý VND > -,Tại ngày 31/12/2023 > Dự phòng VND > -,numeric__Chứng khoán kinh doanhNgân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,numeric__Tại ngày 31/12/2024 > Giá gốc VND > 158.421.092.245,numeric__Tại ngày 31/12/2024 > Giá trị hợp lý VND > 168.635.680.000,numeric__Tại ngày 31/12/2024 > Dự phòng VND > -,numeric__Tại ngày 31/12/2023 > Giá gốc VND > -,numeric__Tại ngày 31/12/2023 > Giá trị hợp lý VND > -,numeric__Tại ngày 31/12/2023 > Dự phòng VND > -
(a),(a),(a),Công ty Cổ phần Tập đoàn GELEX,147.694.731.400,124.952.200.000,(22.742.531.400),-,-,-,,147694731400.0,124952200000.0,-22742531400.0,,,
(a),(a),(a),Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,50.998.342.594,48.288.000.000,(2.710.342.594),-,-,-,,50998342594.0,48288000000.0,-2710342594.0,,,
(a),(a),(a),Tổng Công ty Thủy sản Việt Nam,30.865.338.665,37.165.550.000,-,-,-,-,,30865338665.0,37165550000.0,,,,
(a),(a),(a),Khác,43.626.266.176,48.430.000.000,(612.001.173),-,-,-,,43626266176.0,48430000000.0,-612001173.0,,,
(a),(a),(a),,431.605.771.080,427.471.430.000,(26.064.875.167),-,-,-,,431605771080.0,427471430000.0,-26064875167.0,,,
(b),(b),(b),Đầu tư nằm giữ đến ngày đáo hạnTiền gửi có kỳ hạn tại ngân hàng thương mai (**),1.000.000.000,(*),-,1.000.000.000,(*),-,,1000000000.0,,,1000000000.0,,
(c),(c),(c),Đầu tư vào công ty conCông ty Cổ phần Cảng xanh VIP,518.850.000.000,2.821.500.000.000,-,518.850.000.000,1.763.437.500.000,-,,518850000000.0,2821500000000.0,,518850000000.0,1763437500000.0,
(c),(c),(c),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,80.400.000.000,126.228.000.000,-,80.400.000.000,121.404.000.000,-,,80400000000.0,126228000000.0,,80400000000.0,121404000000.0,
(c),(c),(c),Công ty Cổ phần Container Miền Trung,19.825.000.000,42.524.625.000,-,19.825.000.000,37.072.750.000,-,,19825000000.0,42524625000.0,,19825000000.0,37072750000.0,
(c),(c),(c),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,76.000.000.000,(*),-,76.000.000.000,(*),-,,76000000000.0,,,76000000000.0,,
(c),(c),(c),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,620.000.000.000,(*),(90.096.824.132),620.000.000.000,(*),(58.033.070.643),,620000000000.0,,-90096824132.0,620000000000.0,,-58033070643.0
(c),(c),(c),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,110.000.000.000,(*),-,110.000.000.000,(*),-,,110000000000.0,,,110000000000.0,,
(c),(c),(c),Công ty TNHH Một thành viên Viconship Hồ Chí Minh,20.000.000.000,(*),(3.251.978.509),20.000.000.000,(*),(1.841.210.114),,20000000000.0,,-3251978509.0,20000000000.0,,-1841210114.0
(c),(c),(c),Công ty TNHH Cảng Nam Hải Đình Vũ (i),3.178.441.422.609,(*),-,Không áp dụng,Không áp dụng,Không áp dụng,,3178441422609.0,,,,,
(c),(c),(c),,4.623.516.422.609,(*),(93.348.802.641),1.445.075.000.000,(*),(59.874.280.757),,4623516422609.0,,-93348802641.0,1445075000000.0,,-59874280757.0
