row_label_raw,row_label_full,Ban Điều hành,Ban Điều hành_1,Ban Điều hành_2,Ban Điều hành_3,numeric__Ban Điều hành_1,numeric__Ban Điều hành_2,numeric__Ban Điều hành_3
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Tổng Giám đốc(từ ngày 28/2/2024),,,,,
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Giám đốc Marketing(đến ngày 28/2/2024),Như trên,Như trên,,,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Tổng Giám đốc(đến ngày 28/2/2024),Như trên,Như trên,,,
Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Phó Tổng Giám đốc(từ ngày 20/6/2024đến ngày 1/1/2025),,,,,
Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng > Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Giám đốc Kỹ thuật(đến ngày 20/6/2024),1.931.180.351,2.594.933.107,,1931180351.0,2594933107.0
Bà Trương Anh Thư,Bà Trương Anh Thư,Bà Trương Anh Thư,Phó Tổng Giám đốc(từ ngày 20/6/2024),,,,,
Bà Trương Anh Thư,Bà Trương Anh Thư > Bà Trương Anh Thư,Bà Trương Anh Thư,Giám đốc tài chính(từ ngày 1/3/2024),2.056.100.000,-,,2056100000.0,
Ông Vũ Ngọc Lâm,Bà Trương Anh Thư > Ông Vũ Ngọc Lâm,Ông Vũ Ngọc Lâm,Phó Tổng Giám đốc(từ ngày 20/6/2024),1.007.467.000,-,,1007467000.0,
Ông Phan Văn Hưng,Bà Trương Anh Thư > Ông Phan Văn Hưng,Ông Phan Văn Hưng,Giám đốc Tài chính(đến ngày 1/3/2024),386.666.667,2.316.407.000,,386666667.0,2316407000.0
Ông Phạm Thanh Tuấn,Bà Trương Anh Thư > Ông Phạm Thanh Tuấn,Ông Phạm Thanh Tuấn,Kế toán trường(từ ngày 1/3/2024),2.055.100.000,-,,2055100000.0,
Ông Lê Thế Trung,Bà Trương Anh Thư > Ông Lê Thế Trung,Ông Lê Thế Trung,Kế toán trường(đến ngày 1/3/2024),396.000.000,2.922.954.000,,396000000.0,2922954000.0
