row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.212.693.970.000,39.403.521.246,646.734.369.757,227.463.095.709,2.126.294.956.712,1212693970000.0,39403521246.0,646734369757.0,227463095709.0,2126294956712.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(9.881.000.000),(9.881.000.000),,,,-9881000000.0,-9881000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(3.900.000.000),(3.900.000.000),,,,-3900000000.0,-3900000000.0
Chia cổ tức bằng cổ phiếu năm 2022,Chia cổ tức bằng cổ phiếu năm 2022,Chia cổ tức bằng cổ phiếu năm 2022,121.262.450.000,-,-,(121.262.450.000),-,121262450000.0,,,-121262450000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,155.354.444.763,155.354.444.763,,,,155354444763.0,155354444763.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.333.956.420.000,39.403.521.246,646.734.369.757,247.774.090.472,2.267.868.401.475,1333956420000.0,39403521246.0,646734369757.0,247774090472.0,2267868401475.0
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 15) (*)",-,-,-,(7.386.511.952),(7.386.511.952),,,,-7386511952.0,-7386511952.0
Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,(2.000.000.000),(2.000.000.000),,,,-2000000000.0,-2000000000.0
Vốn tăng trong năm (**),Vốn tăng trong năm (**),Vốn tăng trong năm (**),1.333.956.420.000,-,-,-,1.333.956.420.000,1333956420000.0,,,,1333956420000.0
Chia cổ tức bằng cổ phiếu năm 2023 (***),Chia cổ tức bằng cổ phiếu năm 2023 (***),Chia cổ tức bằng cổ phiếu năm 2023 (***),200.055.350.000,-,-,(200.055.350.000),-,200055350000.0,,,-200055350000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,259.851.372.055,259.851.372.055,,,,259851372055.0,259851372055.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.867.968.190.000,39.403.521.246,646.734.369.757,298.183.600.575,3.852.289.681.578,2867968190000.0,39403521246.0,646734369757.0,298183600575.0,3852289681578.0
