row_label_raw,row_label_full,col_0,"Nơi thànhlập, đăng kýhoạt động",2024,2024_1,2023,2023_1,"numeric__Nơi thànhlập, đăng kýhoạt động",numeric__2024,numeric__2024_1,numeric__2023,numeric__2023_1
,,,"Nơi thànhlập, đăng kýhoạt động",Tỷ lệsở hữu,Tỷ lệquyềnbiểu quyết,Tỷ lệsở hữu,Tỷ lệquyềnbiểu quyết,,,,,
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,
1) Công ty Cổ phần Cảng Xanh VIP,Công ty con trực tiếp > 1) Công ty Cổ phần Cảng Xanh VIP,1) Công ty Cổ phần Cảng Xanh VIP,Hải Phòng,74%,74%,74%,74%,,0.74,0.74,0.74,0.74
2) Công ty Cổ phần Đầu tư Dịch vụvà Phát triển Xanh,Công ty con trực tiếp > 2) Công ty Cổ phần Đầu tư Dịch vụvà Phát triển Xanh,2) Công ty Cổ phần Đầu tư Dịch vụvà Phát triển Xanh,Hải Phòng,66%,66%,66%,66%,,0.66,0.66,0.66,0.66
3) Công ty Cổ phần ContainerMiền Trung,Công ty con trực tiếp > 3) Công ty Cổ phần ContainerMiền Trung,3) Công ty Cổ phần ContainerMiền Trung,Đà Nẵng,65%,65%,65%,65%,,0.65,0.65,0.65,0.65
4) Công ty TNHH Một thành viênVận tải biển Ngôi Sao Xanh,Công ty con trực tiếp > 4) Công ty TNHH Một thành viênVận tải biển Ngôi Sao Xanh,4) Công ty TNHH Một thành viênVận tải biển Ngôi Sao Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
5) Công ty TNHH Một thành viênTrung tâm Logistics Xanh,Công ty con trực tiếp > 5) Công ty TNHH Một thành viênTrung tâm Logistics Xanh,5) Công ty TNHH Một thành viênTrung tâm Logistics Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
6) Công ty TNHH Một thành viênDịch vụ Cảng Xanh,Công ty con trực tiếp > 6) Công ty TNHH Một thành viênDịch vụ Cảng Xanh,6) Công ty TNHH Một thành viênDịch vụ Cảng Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
7) Công ty TNHH Một thành viênViconship Hồ Chí Minh,Công ty con trực tiếp > 7) Công ty TNHH Một thành viênViconship Hồ Chí Minh,7) Công ty TNHH Một thành viênViconship Hồ Chí Minh,Hồ Chí Minh,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
8) Công ty TNHH Cảng Nam HảiĐình Vũ (từ ngày 18/7/2024),Công ty con trực tiếp > 8) Công ty TNHH Cảng Nam HảiĐình Vũ (từ ngày 18/7/2024),8) Công ty TNHH Cảng Nam HảiĐình Vũ (từ ngày 18/7/2024),Hải Phòng,"99,99%","99,99%",35%,35%,,0.9998999999999999,0.9998999999999999,0.35,0.35
Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,Công ty con giản tiếp,,,,,
1) Công ty Cổ phần Cảng cạnQuảng Bình – Đình Vũ,Công ty con giản tiếp > 1) Công ty Cổ phần Cảng cạnQuảng Bình – Đình Vũ,1) Công ty Cổ phần Cảng cạnQuảng Bình – Đình Vũ,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
2) Công ty Cổ phần ContainerQui Nhơn,Công ty con giản tiếp > 2) Công ty Cổ phần ContainerQui Nhơn,2) Công ty Cổ phần ContainerQui Nhơn,"Quy Nhơn,Bình Định","54,6%",65%,"54,6%",65%,,0.546,0.65,0.546,0.65
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
1) Công ty Cổ phần Logistics CảngĐà Nẵng,Công ty liên kết > 1) Công ty Cổ phần Logistics CảngĐà Nẵng,1) Công ty Cổ phần Logistics CảngĐà Nẵng,Đà Nẵng,31%,31%,31%,31%,,0.31,0.31,0.31,0.31
2) Công ty Cổ phần Cảng Dịch vụDầu khí Đình Vũ(đến ngày 12/9/2024),Công ty liên kết > 2) Công ty Cổ phần Cảng Dịch vụDầu khí Đình Vũ(đến ngày 12/9/2024),2) Công ty Cổ phần Cảng Dịch vụDầu khí Đình Vũ(đến ngày 12/9/2024),Hải Phòng,-,-,22%,22%,,,,0.22,0.22
3) Công ty TNHH Tuyến ContainerT.S Hà Nội,Công ty liên kết > 3) Công ty TNHH Tuyến ContainerT.S Hà Nội,3) Công ty TNHH Tuyến ContainerT.S Hà Nội,Hải Phòng,30%,30%,30%,30%,,0.3,0.3,0.3,0.3
4) Công ty Cổ phần Cảng VIMCDình Vũ,Công ty liên kết > 4) Công ty Cổ phần Cảng VIMCDình Vũ,4) Công ty Cổ phần Cảng VIMCDình Vũ,Hải Phòng,36%,36%,36%,36%,,0.36,0.36,0.36,0.36
5) Công ty Cổ phần Vận tải biểnVinaship (từ ngày 10/10/2024),Công ty liên kết > 5) Công ty Cổ phần Vận tải biểnVinaship (từ ngày 10/10/2024),5) Công ty Cổ phần Vận tải biểnVinaship (từ ngày 10/10/2024),Hải Phòng,40%,40%,-,-,,0.4,0.4,,
