row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,-,174.580.000,numeric__-,numeric__174.580.000
Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Công ty TNHH Một thành viên Trung tâm Logistics Xanh,1.071.280.040,-,1071280040.0,
Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,4.975.977.458,900.732.597,4975977458.0,900732597.0
Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,506.995.528,-,506995528.0,
