row_label_raw,row_label_full,Ông Nguyễn Đức Dũng > Ông Bùi Minh Hưng > Ông Nguyễn Việt Hoà,Chủ tịch(từ ngày 15/5/2024) > Thành viên(đến ngày 15/5/2024) > Chủ tịch(dến ngày 15/5/2024) > Thành viên(từ ngày 15/5/2024)đến ngày 10/6/2024) > Chủ tịch(dến ngày 10/3/2023),3.197.600.000 > 1.400.400.833 > -,2.091.100.000 > 3.571.602.000 > 733.854.000,numeric__Chủ tịch(từ ngày 15/5/2024) > Thành viên(đến ngày 15/5/2024) > Chủ tịch(dến ngày 15/5/2024) > Thành viên(từ ngày 15/5/2024)đến ngày 10/6/2024) > Chủ tịch(dến ngày 10/3/2023),numeric__3.197.600.000 > 1.400.400.833 > -,numeric__2.091.100.000 > 3.571.602.000 > 733.854.000
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên,300.000.000,440.000.000,,300000000.0,440000000.0
Ông Ninh Văn Hiến,Ông Ninh Văn Hiến,Ông Ninh Văn Hiến,Thành viên(từ ngày 10/6/2024),100.000.000,-,,100000000.0,
Ông Phan Tuấn Linh,Ông Phan Tuấn Linh,Ông Phan Tuấn Linh,Thành viên(từ ngày 10/6/2024),-,-,,,
Bà Trần Thị Phương Anh,Bà Trần Thị Phương Anh,Bà Trần Thị Phương Anh,Thành viên(từ ngày 10/6/2024),-,-,,,
Ông Văn Trần Hoàn,Bà Trần Thị Phương Anh > Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên(dến ngày 10/6/2024),250.000.000,440.000.000,,250000000.0,440000000.0
Ông Cáp Trọng Cường,Bà Trần Thị Phương Anh > Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Thành viên(dến ngày 10/6/2024),757.761.896,2.668.370.500,,757761896.0,2668370500.0
Ông Nguyễn Việt Trung,Bà Trần Thị Phương Anh > Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên(dến ngày 10/3/2023),-,480.000.000,,,480000000.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,,
Ông Nguyễn Đức Thành,Ban Kiểm soát > Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Trưởng ban(từ ngày 10/6/2024),867.000.000,-,,867000000.0,
Ông Trương Lý Thế Anh,Ban Kiểm soát > Ông Trương Lý Thế Anh,Ông Trương Lý Thế Anh,Trưởng ban(dến ngày 10/6/2024),100.000.000,-,,100000000.0,
Bà Ngô Thị Thùy Lương,Ban Kiểm soát > Bà Ngô Thị Thùy Lương,Bà Ngô Thị Thùy Lương,Thành viên,90.000.000,-,,90000000.0,
Bà Nghiêm Thị Thùy Dương,Ban Kiểm soát > Bà Nghiêm Thị Thùy Dương,Bà Nghiêm Thị Thùy Dương,Thành viên,90.000.000,120.000.000,,90000000.0,120000000.0
Bà Nguyễn Thị Kim Nhã,Ban Kiểm soát > Bà Nguyễn Thị Kim Nhã,Bà Nguyễn Thị Kim Nhã,Trưởng ban(dến ngày 10/3/2023),-,189.854.000,,,189854000.0
Bà Nguyễn Thị Minh Lan,Ban Kiểm soát > Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Thành viên(dến ngày 10/3/2023),-,121.000.000,,,121000000.0
,,,,1.147.000.000,430.854.000,,1147000000.0,430854000.0
