row_label_raw,row_label_full,Tên công ty,Nơi đăng ký hoạt động,"Ngành, nghề kinh doanh chính",Tỷ lệ sở hữu và quyền biểu quyết nắm giữ,Tỷ lệ sở hữu và quyền biểu quyết nắm giữ_1,numeric__Nơi đăng ký hoạt động,"numeric__Ngành, nghề kinh doanh chính",numeric__Tỷ lệ sở hữu và quyền biểu quyết nắm giữ,numeric__Tỷ lệ sở hữu và quyền biểu quyết nắm giữ_1
Tên công ty,Tên công ty,Tên công ty,Nơi đăng ký hoạt động,"Ngành, nghề kinh doanh chính",2024 %,2023 %,,,20.24,20.23
Công ty TNHH Một Thành viên Ông thép Nam Kim,Công ty TNHH Một Thành viên Ông thép Nam Kim,Công ty TNHH Một Thành viên Ông thép Nam Kim,"Tĩnh Long An, Việt Nam","Sản xuất các loại tôn thép: tôn mạ màu, tôn mạ kẽm; kinh doanh sắt thép các loại.",100,100,,,100.0,100.0
Công ty TNHH MTV Ông thép Nam Kim Chu Lai,Công ty TNHH MTV Ông thép Nam Kim Chu Lai,Công ty TNHH MTV Ông thép Nam Kim Chu Lai,"Tĩnh Quảng Nam, Việt Nam","Sản xuất các loại tôn thép: tôn mạ màu, tôn mạ kẽm; kinh doanh sắt thép các loại.",100,100,,,100.0,100.0
Công ty TNHH Dae Myung Paper Việt Nam,Công ty TNHH Dae Myung Paper Việt Nam,Công ty TNHH Dae Myung Paper Việt Nam,"Tĩnh Bình Dương, Việt Nam","Sản xuất các loại tôn thép: tôn mạ kẽm, tôn mạ hợp kim nhóm kẽm (tôn lạnh), tôn mạ hợp kim nhóm kẽm phủ sơn, tôn mạ kẽm phủ sơn.",100,100,,,100.0,100.0
Công ty TNHH Tôn Nam Kim Phú Mỹ,Công ty TNHH Tôn Nam Kim Phú Mỹ,Công ty TNHH Tôn Nam Kim Phú Mỹ,"Tĩnh Bà Rịa – Vũng Tàu, Việt Nam","Sản xuất các loại tôn thép: tôn mạ màu, tôn mạ kẽm; kinh doanh sắt thép các loại.",100,100,,,100.0,100.0
