row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,771.055.691.669,3.939.255.796.073,284.712.532.343,16.631.372.756,725.753.480,5.012.381.146.321,771055691669.0,3939255796073.0,284712532343.0,16631372756.0,725753480.0,5012381146321.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,5.266.718.741,7.341.995.181,-,-,12.608.713.922,,5266718741.0,7341995181.0,,,12608713922.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),-,20.287.405.354,-,-,-,20.287.405.354,,20287405354.0,,,,20287405354.0
Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),Nguyên giá > Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),-,41.899.309.383,-,-,-,41.899.309.383,,41899309383.0,,,,41899309383.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.101.946.764),-,-,(3.101.946.764),,,-3101946764.0,,,-3101946764.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,771.055.691.669,4.006.709.229.551,288.952.580.760,16.631.372.756,725.753.480,5.084.074.628.216,771055691669.0,4006709229551.0,288952580760.0,16631372756.0,725753480.0,5084074628216.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,396.250.195.036,2.470.170.078.269,144.957.225.519,11.362.088.247,510.746.172,3.023.250.333.243,396250195036.0,2470170078269.0,144957225519.0,11362088247.0,510746172.0,3023250333243.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,47.477.145.192,289.730.892.146,20.266.464.344,1.402.732.566,7.456.901,358.884.691.149,47477145192.0,289730892146.0,20266464344.0,1402732566.0,7456901.0,358884691149.0
Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),Giá trị khấu hao lũy kế > Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),Chuyển từ tài sản cố định thuế tài chính (Thuyết minh 11(b)),-,4.607.967.429,-,-,-,4.607.967.429,,4607967429.0,,,,4607967429.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,-,(2.966.101.125),-,-,(2.966.101.125),,,-2966101125.0,,,-2966101125.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,443.727.340.228,2.764.508.937.844,162.257.588.738,12.764.820.813,518.203.073,3.383.776.890.696,443727340228.0,2764508937844.0,162257588738.0,12764820813.0,518203073.0,3383776890696.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,374.805.496.633,1.469.085.717.804,139.755.306.824,5.269.284.509,215.007.308,1.989.130.813.078,374805496633.0,1469085717804.0,139755306824.0,5269284509.0,215007308.0,1989130813078.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,327.328.351.441,1.242.200.291.707,126.694.992.022,3.866.551.943,207.550.407,1.700.297.737.520,327328351441.0,1242200291707.0,126694992022.0,3866551943.0,207550407.0,1700297737520.0
