row_label_raw,row_label_full,Năm phát sinh lỗ,Tình trạng kiểm tra của các cơ quan thuế,Số lỗ phát sinh VND,Số lỗ tính thuế đã được sử dụng VND,Số lỗ còn được chuyển sang các kỳ tính thuế sau VND,numeric__Tình trạng kiểm tra của các cơ quan thuế,numeric__Số lỗ phát sinh VND,numeric__Số lỗ tính thuế đã được sử dụng VND,numeric__Số lỗ còn được chuyển sang các kỳ tính thuế sau VND
2020,2020,2020,Chưa kiểm tra thuế,53.391.571,(32.363.315),21.028.256,,53391571.0,-32363315.0,21028256.0
2021,2021,2021,Chưa kiểm tra thuế,348.378.321,-,348.378.321,,348378321.0,,348378321.0
2022,2022,2022,Chưa kiểm tra thuế,174.911.804.801,-,174.911.804.801,,174911804801.0,,174911804801.0
2023,2023,2023,Chưa kiểm tra thuế,73.883.728.783,-,73.883.728.783,,73883728783.0,,73883728783.0
2024,2024,2024,Chưa kiểm tra thuế,1.156.870.270,-,1.156.870.270,,1156870270.0,,1156870270.0
