row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2024,31/12/2023,,
Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,,
Khách hàng:,Khách hàng:,Khách hàng:,,,,
• Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > • Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,• Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
• Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Khách hàng: > • Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,• Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
• Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > • Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,• Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
• Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Khách hàng: > • Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,• Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,,,,
• Tiền gửi bằng ngoại tệ,Tổ chức tín dụng nước ngoài: > • Tiền gửi bằng ngoại tệ,• Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2024Triệu VND,31/12/2023Triệu VND,,
Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,,
• Bằng VND,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > • Bằng VND,• Bằng VND,2.586.195,3.064.053,2586195.0,3064053.0
• Bằng ngoại tệ,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > • Bằng ngoại tệ,• Bằng ngoại tệ,83.551,103.795,83551.0,103795.0
,,,2.669.746,3.167.848,2669746.0,3167848.0
