row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNNVN”),18,3.732.769,-,,18.0,3732769.0,
I,B > I,I,"Tiền gửi và vay Chính phủ, NHNNVN",,3.732.769,-,,,3732769.0,
H,B > H,H,Tiền gửi và vay các tổ chức tín dụng khác,19,45.930.839,29.041.487,,19.0,45930839.0,29041487.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,42.765.878,27.446.777,,,42765878.0,27446777.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.164.961,1.594.710,,,3164961.0,1594710.0
III,B > III,III,Tiền gửi của khách hàng,20,90.719.121,100.034.291,,20.0,90719121.0,100034291.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,21,381.690,265.268,,21.0,381690.0,265268.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",22,9.364,26.613,,22.0,9364.0,26613.0
VI,B > VI,VI,Phát hành giấy tờ có giá,23,19.230.000,15.600.000,,23.0,19230000.0,15600000.0
VII,B > VII,VII,Các khoản nợ khác,24,2.685.098,3.652.297,,24.0,2685098.0,3652297.0
I,B > I,I,"Các khoản lãi, phí phải trả",,1.736.021,3.138.846,,,1736021.0,3138846.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,949.077,513.451,,,949077.0,513451.0
,,,TỔNG NỘ PHẢI TRẢ,,162.688.881,148.619.956,,,162688881.0,148619956.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,25,14.024.232,13.479.217,,25.0,14024232.0,13479217.0
I,B > I,I,Vốn,,10.385.641,10.385.641,,,10385641.0,10385641.0
a,B > a,a,Vốn điều lệ,,10.350.368,10.350.368,,,10350368.0,10350368.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,994,994,,,994.0,994.0
c,B > c,c,Thặng dư vốn cố phân,,34.279,34.279,,,34279.0,34279.0
2,B > 2,2,Các quỹ,,1.284.297,1.150.399,,,1284297.0,1150399.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.354.294,1.943.177,,,2354294.0,1943177.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,14.024.232,13.479.217,,,14024232.0,13479217.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,176.713.113,162.099.173,,,176713113.0,162099173.0
