row_label_raw,row_label_full,Ông Đào Mạnh Kháng,Chủ tịch,numeric__Chủ tịch
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Phó Chủ tịch,
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên,
Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Thành viên,
Ông Foong Seong Yew,Ông Foong Seong Yew,Ông Foong Seong Yew,Thành viên,
Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Thành viên độc lập,
Ông Trần Bá Vinh,Ông Trần Bá Vinh,Ông Trần Bá Vinh,Thành viên độc lập (*),
