row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Tài sân cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Tài sân cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,514.408,532.803,187.065,29.496,10.615,1.274.387,514408.0,532803.0,187065.0,29496.0,10615.0,1274387.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,104.408,-,2.735,871,108.014,,104408.0,,2735.0,871.0,108014.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(23.830),(701),(21.744),(351),(258),(46.884),-23830.0,-701.0,-21744.0,-351.0,-258.0,-46884.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,490.578,636.510,165.321,31.880,11.228,1.335.517,490578.0,636510.0,165321.0,31880.0,11228.0,1335517.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,129.999,410.159,142.328,23.714,6.658,712.858,129999.0,410159.0,142328.0,23714.0,6658.0,712858.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.911,39.532,8.860,3.840,1.375,64.518,10911.0,39532.0,8860.0,3840.0,1375.0,64518.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.307),(701),(21.744),(351),(242),(27.345),-4307.0,-701.0,-21744.0,-351.0,-242.0,-27345.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,136.603,448.990,129.444,27.203,7.791,750.031,136603.0,448990.0,129444.0,27203.0,7791.0,750031.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,384.409,122.644,44.737,5.782,3.957,561.529,384409.0,122644.0,44737.0,5782.0,3957.0,561529.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,353.975,187.520,35.877,4.677,3.437,585.486,353975.0,187520.0,35877.0,4677.0,3437.0,585486.0
