row_label_raw,row_label_full,col_0,Tỷ giả hối đoái tại ngày > 31/12/2024,Tỷ giả hối đoái tại ngày > 31/12/2023,numeric__Tỷ giả hối đoái tại ngày > 31/12/2024,numeric__Tỷ giả hối đoái tại ngày > 31/12/2023
USD/VND,USD/VND,USD/VND,25.490,24.250,25490.0,24250.0
EUR/VND,EUR/VND,EUR/VND,26.578,26.895,26578.0,26895.0
GBP/VND,GBP/VND,GBP/VND,31.993,30.885,31993.0,30885.0
CHF/VND,CHF/VND,CHF/VND,28.247,28.797,28247.0,28797.0
SGD/VND,SGD/VND,SGD/VND,18.763,18.392,18763.0,18392.0
CAD/VND,CAD/VND,CAD/VND,17.763,18.341,17763.0,18341.0
AUD/VND,AUD/VND,AUD/VND,15.870,16.578,15870.0,16578.0
NZD/VND,NZD/VND,NZD/VND,14.379,15.390,14379.0,15390.0
HKD/VND,HKD/VND,HKD/VND,3.283,3.106,3283.0,3106.0
JPY/VND,JPY/VND,JPY/VND,163,171,163.0,171.0
