row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Vốn đầu tư XDCB và mua sắm TSCĐ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ khác thuộc vốn chủ sở hữu Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Tổng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Vốn đầu tư XDCB và mua sắm TSCĐ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,9.409.471,994,34.279,167.731,859.412,37.086,19.430,2.524.990,13.053.393,9409471.0,994.0,34279.0,167731.0,859412.0,37086.0,19430.0,2524990.0,13053393.0
Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,940.897,-,-,-,-,-,-,(940.897),-,940897.0,,,,,,,-940897.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,453.502,453.502,,,,,,,,453502.0,453502.0
Trích lập vào các quỹ trong năm,Trích lập vào các quỹ trong năm,Trích lập vào các quỹ trong năm,-,-,-,22.282,39.823,4.505,130,(66.740),-,,,,22282.0,39823.0,4505.0,130.0,-66740.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(27.678),(27.678),,,,,,,,-27678.0,-27678.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,10.350.368,994,34.279,190.013,899.235,41.591,19.560,1.943.177,13.479.217,10350368.0,994.0,34279.0,190013.0,899235.0,41591.0,19560.0,1943177.0,13479217.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,585.556,585.556,,,,,,,,585556.0,585556.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(40.541),(40.541),,,,,,,,-40541.0,-40541.0
Tạm trích lập vào các quỹ trong năm,Tạm trích lập vào các quỹ trong năm,Tạm trích lập vào các quỹ trong năm,-,-,-,62.723,62.723,5.538,2.914,(133.898),-,,,,62723.0,62723.0,5538.0,2914.0,-133898.0,
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,10.350.368,994,34.279,252.736,961.958,47.129,22.474,2.354.294,14.024.232,10350368.0,994.0,34279.0,252736.0,961958.0,47129.0,22474.0,2354294.0,14024232.0
