row_label_raw,row_label_full,col_0,col_1,2024Triệu VND,2023Triệu VND,numeric__col_1,numeric__2024Triệu VND,numeric__2023Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG DẦU TƯ,,,,,
01,01,01,Mua sắm tài sản cố định,(243.102),(121.962),,-243102.0,-121962.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.252,642,,10252.0,642.0
05,05,05,"Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",-,131.697,,,131697.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn",11.296,24.194,,11296.0,24194.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG DẦU TƯ,(221.554),34.571,,-221554.0,34571.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,6.812.903,16.479.081,,6812903.0,16479081.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN DẦU NĂM,40.071.202,23.592.121,,40071202.0,23592121.0
VI,VI,VI,ĐIỀU CHỈNH ẢNH HƯỞNG CỦA THAY ĐỔI TÝ GIÁ,-,-,,,
VII,VI > VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG DƯƠNG TIÊN CUỐI NĂM (THUYẾT MINH 37),46.884.105,40.071.202,,46884105.0,40071202.0
