row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_6","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_7","Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_8","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_7","numeric__Ngân hàng Thương mại Cổ phần An BìnhTầng 1,2,3, Tòa nhà Geleximco, 36 Hoàng CầuPhường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo)_8"
,,,Quá hạn,Quá hạn,Quá hạn,Quá hạn,Trong hạn,Trong hạn,Trong hạn,Trong hạn,,,,,,,,
,,,Trên 3 thángTriệu VND,Đến 3 thángTriệu VND,Đến 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3 đến12 thángTriệu VND,Từ trên 1 đến5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,315.917,-,-,-,-,315.917,,,315917.0,,,,,315917.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.669.746,-,-,-,-,2.669.746,,,2669746.0,,,,,2669746.0
Tiền gửi và cho vay các TCTDkhác – gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác – gộp,Tiền gửi và cho vay các TCTDkhác – gộp,-,-,40.023.275,4.324.800,-,-,-,44.348.075,,,40023275.0,4324800.0,,,,44348075.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,118.272,-,-,-,-,118.272,,,118272.0,,,,,118272.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,57.662,-,-,-,-,57.662,,,57662.0,,,,,57662.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.691.212,1.439.319,4.749.033,13.683.193,38.342.805,20.133.321,16.699.293,98.738.176,3691212.0,1439319.0,4749033.0,13683193.0,38342805.0,20133321.0,16699293.0,98738176.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,1.088.810,2.937.927,303.124,-,1.910.000,6.239.861,,,1088810.0,2937927.0,303124.0,,1910000.0,6239861.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,150.000,-,-,-,1.439.991,10.883.284,9.467.390,21.940.665,150000.0,,,,1439991.0,10883284.0,9467390.0,21940665.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,58.791,58.791,,,,,,,58791.0,58791.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,211,4.007,136.038,926.877,1.067.133,,,,211.0,4007.0,136038.0,926877.0,1067133.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,64.996,64.996,,,,,,,64996.0,64996.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,296.689,-,1.475.190,543.957,1.123.851,736.304,-,4.175.991,296689.0,,1475190.0,543957.0,1123851.0,736304.0,,4175991.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),4.137.901,1.439.319,50.497.905,21.490.088,41.213.778,31.888.947,29.127.347,179.795.285,4137901.0,1439319.0,50497905.0,21490088.0,41213778.0,31888947.0,29127347.0,179795285.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
"Tiền gửi và vay Chính phủ,NHNNVN","Nợ phải trả > Tiền gửi và vay Chính phủ,NHNNVN","Tiền gửi và vay Chính phủ,NHNNVN",-,-,3.732.769,-,-,-,-,3.732.769,,,3732769.0,,,,,3732769.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,38.929.071,6.589.075,343.034,69.659,-,45.930.839,,,38929071.0,6589075.0,343034.0,69659.0,,45930839.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.094.084,24.785.398,41.433.856,2.391.137,14.646,90.719.121,,,22094084.0,24785398.0,41433856.0,2391137.0,14646.0,90719121.0
Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,-,-,-,278.139,161.213,-,-,439.352,,,,278139.0,161213.0,,,439352.0
"Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro",-,-,52,222,2.951,6.139,-,9.364,,,52.0,222.0,2951.0,6139.0,,9364.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,120.000,13.710.000,5.400.000,-,19.230.000,,,,120000.0,13710000.0,5400000.0,,19230000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.685.098,-,-,-,-,2.685.098,,,2685098.0,,,,,2685098.0
