row_label_raw,row_label_full,Số dư cuối năm/năm,31/12/2024 > Triệu VND > Phải thu/(Phải trả),31/12/2023 > Triệu VND > Phải thu/(Phải trả),numeric__31/12/2024 > Triệu VND > Phải thu/(Phải trả),numeric__31/12/2023 > Triệu VND > Phải thu/(Phải trả)
Cổ đông lớn và bên liên quan với cổ đông lớn,Cổ đông lớn và bên liên quan với cổ đông lớn,Cổ đông lớn và bên liên quan với cổ đông lớn,Cổ đông lớn và bên liên quan với cổ đông lớn,Cổ đông lớn và bên liên quan với cổ đông lớn,,
Tập đoàn Geleximco – Công ty CP,Tập đoàn Geleximco – Công ty CP,Tập đoàn Geleximco – Công ty CP,Tập đoàn Geleximco – Công ty CP,Tập đoàn Geleximco – Công ty CP,,
Tiền gửi không kỳ hạn,Tập đoàn Geleximco – Công ty CP > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(607),(167),-607.0,-167.0
Phải thu tiền bán cổ phiếu ABS,Tập đoàn Geleximco – Công ty CP > Phải thu tiền bán cổ phiếu ABS,Phải thu tiền bán cổ phiếu ABS,35.855,35.855,35855.0,35855.0
Vốn góp tại Ngân hàng,Tập đoàn Geleximco – Công ty CP > Vốn góp tại Ngân hàng,Vốn góp tại Ngân hàng,(1.322.643),(1.322.643),-1322643.0,-1322643.0
Đặt cọc thuê văn phòng,Tập đoàn Geleximco – Công ty CP > Đặt cọc thuê văn phòng,Đặt cọc thuê văn phòng,7.820,7.437,7820.0,7437.0
Góp vốn đầu tư hợp tác kinh doanh,Tập đoàn Geleximco – Công ty CP > Góp vốn đầu tư hợp tác kinh doanh,Góp vốn đầu tư hợp tác kinh doanh,100.000,100.000,100000.0,100000.0
Lãi phải thu từ góp vốn đầu tư hợp tác kinh doanh,Tập đoàn Geleximco – Công ty CP > Lãi phải thu từ góp vốn đầu tư hợp tác kinh doanh,Lãi phải thu từ góp vốn đầu tư hợp tác kinh doanh,2.606,1.649,2606.0,1649.0
Trả trước ngắn hạn - phí quản lý và dịch vụ,Tập đoàn Geleximco – Công ty CP > Trả trước ngắn hạn - phí quản lý và dịch vụ,Trả trước ngắn hạn - phí quản lý và dịch vụ,37,,37.0,
Malayan Banking Berhad,Malayan Banking Berhad,Malayan Banking Berhad,Malayan Banking Berhad,Malayan Banking Berhad,,
Tiền gửi không kỳ hạn,Malayan Banking Berhad > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(1.406),(1.219),-1406.0,-1219.0
Vốn góp tại Ngân hàng,Malayan Banking Berhad > Vốn góp tại Ngân hàng,Vốn góp tại Ngân hàng,(1.696.836),(1.696.836),-1696836.0,-1696836.0
Ngân hàng gửi tiền,Malayan Banking Berhad > Ngân hàng gửi tiền,Ngân hàng gửi tiền,6,2.206,6.0,2206.0
Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,,
Dư nợ vay tại Ngân hàng,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Dư nợ vay tại Ngân hàng,Dư nợ vay tại Ngân hàng,350.000,320.000,350000.0,320000.0
Lãi dự thu từ các khoản vay tại Ngân hàng,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Lãi dự thu từ các khoản vay tại Ngân hàng,Lãi dự thu từ các khoản vay tại Ngân hàng,333,184,333.0,184.0
Tiền gửi có kỳ hạn và không kỳ hạn tại Ngân hàng,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Tiền gửi có kỳ hạn và không kỳ hạn tại Ngân hàng,Tiền gửi có kỳ hạn và không kỳ hạn tại Ngân hàng,(2.110.150),(2.470.844),-2110150.0,-2470844.0
Lãi dự chi tiền gửi,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Lãi dự chi tiền gửi,Lãi dự chi tiền gửi,(255),(4.641),-255.0,-4641.0
