row_label_raw,row_label_full,Năm 2015,Công nghiệp đệt may VND,"Xuất khẩu, nhập khẩu và kinh doanh thương mại VND",Các hoạt động khác VND Đã điều chỉnh lại,Loại trừ VND,Hợp nhất VND Đã điều chỉnh lại,numeric__Công nghiệp đệt may VND,"numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại VND",numeric__Các hoạt động khác VND Đã điều chỉnh lại,numeric__Loại trừ VND,numeric__Hợp nhất VND Đã điều chỉnh lại
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,11.710.530.194.468,2.471.890.511.917,1.214.022.091.702,(212.596.235.811),15.183.846.562.276,11710530194468.0,2471890511917.0,1214022091702.0,-212596235811.0,15183846562276.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,2.844.391.021.716,160.360.785.122,97.006.262.396,(3.101.758.069.234),-,2844391021716.0,160360785122.0,97006262396.0,-3101758069234.0,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,14.554.921.216.184,2.632.251.297.039,1.311.028.354.098,(3.314.354.305.045),15.183.846.562.276,14554921216184.0,2632251297039.0,1311028354098.0,-3314354305045.0,15183846562276.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,-,-,-,498.259.938.877,498.259.938.877,,,,498259938877.0,498259938877.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,634.122.264.539,(50.520.560.239),(5.566.262.439),16.148.256.881,594.183.698.742,634122264539.0,-50520560239.0,-5566262439.0,16148256881.0,594183698742.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,172.707.425.876,4.433.849.031,166.672.826.486,(127.817.466.536),215.996.634.857,172707425876.0,4433849031.0,166672826486.0,-127817466536.0,215996634857.0
Chi phí khác,Chi phí khác,Chi phí khác,(121.026.312.034),(2.095.833.527),(106.488.399.713),65.351.388.859,(164.259.156.415),-121026312034.0,-2095833527.0,-106488399713.0,65351388859.0,-164259156415.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(58.799.101.493),(1.354.900.157),(7.181.161.533),(1.153.562.458),(68.488.725.641),-58799101493.0,-1354900157.0,-7181161533.0,-1153562458.0,-68488725641.0
Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,1.838.679.008,-,(3.731.968.166),(28.651.881.397),(30.545.170.555),1838679008.0,,-3731968166.0,-28651881397.0,-30545170555.0
Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,628.842.955.896,(49.537.444.892),43.705.034.635,(76.123.264.651),546.887.280.988,628842955896.0,-49537444892.0,43705034635.0,-76123264651.0,546887280988.0
