row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,35,15.486.320.109.641,15.205.947.291.776,1.0,35.0,15486320109641.0,15205947291776.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,35,24.799.294.989,22.100.729.500,2.0,35.0,24799294989.0,22100729500.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,35,15.461.520.814.652,15.183.846.562.276,10.0,35.0,15461520814652.0,15183846562276.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,36,13.757.366.211.159,13.299.234.243.354,11.0,36.0,13757366211159.0,13299234243354.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.704.154.603.493,1.884.612.318.922,20.0,,1704154603493.0,1884612318922.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,37,339.153.140.130,442.313.467.907,21.0,37.0,339153140130.0,442313467907.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,38,486.708.411.396,688.664.328.894,22.0,38.0,486708411396.0,688664328894.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,333.839.233.856,354.284.173.973,23.0,,333839233856.0,354284173973.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,,506.863.393.007,498.259.938.877,24.0,,506863393007.0,498259938877.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,39,492.057.897.689,561.711.536.516,25.0,39.0,492057897689.0,561711536516.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,40,1.023.404.836.216,980.626.161.554,26.0,40.0,1023404836216.0,980626161554.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},30,,547.999.991.329,594.183.698.742,30.0,,547999991329.0,594183698742.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,41,203.776.358.682,215.996.634.857,31.0,41.0,203776358682.0,215996634857.0
Chi phí khác,Chi phí khác,Chi phí khác,32,42,68.275.657.378,164.259.156.415,32.0,42.0,68275657378.0,164259156415.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,135.500.701.304,51.737.478.442,40.0,,135500701304.0,51737478442.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,683.500.692.633,645.921.177.184,50.0,,683500692633.0,645921177184.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,44,80.177.835.872,68.488.725.641,51.0,44.0,80177835872.0,68488725641.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,44,24.000.499.701,30.545.170.555,52.0,44.0,24000499701.0,30545170555.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),60,,579.322.357.060,546.887.280.988,60.0,,579322357060.0,546887280988.0
