row_label_raw,row_label_full,col_0,Hạ tầng khu công nghiệp VND,Nhà cửa VND,Vật kiến trúc VND,Tổng cộng VND,numeric__Hạ tầng khu công nghiệp VND,numeric__Nhà cửa VND,numeric__Vật kiến trúc VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,1.784.839.497,16.200.464.350,288.211.602,18.273.515.449,1784839497.0,16200464350.0,288211602.0,18273515449.0
Số dư đầu năm – đã báo cáo trước đây,Giá trị hao mòn lũy kế > Số dư đầu năm – đã báo cáo trước đây,Số dư đầu năm – đã báo cáo trước đây,8.419.773.693,16.200.464.350,288.211.602,24.908.449.645,8419773693.0,16200464350.0,288211602.0,24908449645.0
Điều chỉnh lại (Thuyết minh 49),Giá trị hao mòn lũy kế > Điều chỉnh lại (Thuyết minh 49),Điều chỉnh lại (Thuyết minh 49),(6.634.934.196),-,-,(6.634.934.196),-6634934196.0,,,-6634934196.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,1.726.341.985,1.768.724.358,133.198.720,3.628.265.063,1726341985.0,1768724358.0,133198720.0,3628265063.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,2.604.702.173,-,2.604.702.173,,2604702173.0,,2604702173.0
Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,Giá trị hao mòn lũy kế > Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,(402.148.389),-,-,(402.148.389),-402148389.0,,,-402148389.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.109.033.093,20.573.890.881,421.410.322,24.104.334.296,3109033093.0,20573890881.0,421410322.0,24104334296.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,97.509.847.649,32.875.695.360,299.933.889,130.685.476.898,97509847649.0,32875695360.0,299933889.0,130685476898.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,63.331.065.868,31.689.903.005,6.556.263.370,101.577.232.243,63331065868.0,31689903005.0,6556263370.0,101577232243.0
