row_label_raw,row_label_full,Tại ngày 31/12/2016,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,21.189.022.784.889,311.650.238.461,2.677.447.566.562,(6.234.266.235.468),17.943.854.354.444,21189022784889.0,311650238461.0,2677447566562.0,-6234266235468.0,17943854354444.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.536.176.143.382,412.560.000,307.875.000,313.672.362.635,1.850.568.941.017,1536176143382.0,412560000.0,307875000.0,313672362635.0,1850568941017.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,22.725.198.928.271,312.062.798.461,2.677.755.441.562,(5.920.593.872.833),19.794.423.295.461,22725198928271.0,312062798461.0,2677755441562.0,-5920593872833.0,19794423295461.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,13.148.327.345.871,464.991.161.419,1.521.822.896.190,(2.935.188.642.059),12.199.952.761.421,13148327345871.0,464991161419.0,1521822896190.0,-2935188642059.0,12199952761421.0
Năm 2016,Năm 2016,Năm 2016,Năm 2016,Năm 2016,Năm 2016,Năm 2016,Năm 2016,,,,,
Chỉ tiêu vốn,Năm 2016 > Chỉ tiêu vốn,Chỉ tiêu vốn,1.725.307.884.437,12.011.701.586,280.884.605.755,(68.114.711.192),1.950.089.480.586,1725307884437.0,12011701586.0,280884605755.0,-68114711192.0,1950089480586.0
Khấu hao tài sản cố định hữu hình,Năm 2016 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,559.045.492.972,4.185.251.935,48.117.340.122,(35.958.656.768),575.389.428.261,559045492972.0,4185251935.0,48117340122.0,-35958656768.0,575389428261.0
Khấu hao tài sản cố định hữu hình thuêtài chính,Năm 2016 > Khấu hao tài sản cố định hữu hình thuêtài chính,Khấu hao tài sản cố định hữu hình thuêtài chính,7.871.890.315,-,-,-,7.871.890.315,7871890315.0,,,,7871890315.0
Khấu hao tài sản cố định vô hình,Năm 2016 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,4.587.513.047,-,104.866.142,-,4.692.379.189,4587513047.0,,104866142.0,,4692379189.0
Khấu hao bất động sản đầu tư,Năm 2016 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,1.774.399.678,127.523.400,1.726.341.985,-,3.628.265.063,1774399678.0,127523400.0,1726341985.0,,3628265063.0
