row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ % sở hữu của Tập đoàn > 31/12/2016,Tỷ lệ % sở hữu của Tập đoàn > 1/1/2016,Giá trị đầu tư theo mệnh giá VND > 31/12/2016,Giá trị đầu tư theo mệnh giá VND > 1/1/2016,numeric__Tên đơn vị,numeric__Tỷ lệ % sở hữu của Tập đoàn > 31/12/2016,numeric__Tỷ lệ % sở hữu của Tập đoàn > 1/1/2016,numeric__Giá trị đầu tư theo mệnh giá VND > 31/12/2016,numeric__Giá trị đầu tư theo mệnh giá VND > 1/1/2016
Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế,,,,,
22,Công ty liên kết của Công ty cổ phần Vinatex Quốc tế > 22,22,Công ty TNHH Đệt May Vinatex Quốc Tế Toms (i),-,"23,97%",-,27.677.160.000,,,0.2397,,27677160000.0
Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,,,,,
23,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 23,23,Công ty CP May 1 Đệt Nam Định,"22,45%","22,45%",2.007.500.000,2.007.500.000,,0.2245,0.2245,2007500000.0,2007500000.0
24,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 24,24,Công ty CP Đô thị Đệt May Nam Định,"49,92%","49,92%",31.100.000.000,31.100.000.000,,0.49920000000000003,0.49920000000000003,31100000000.0,31100000000.0
Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,,,,,
25,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội > 25,25,Công ty CP May Đông Mỹ Hanosimex,"16,68%","16,68%",1.159.000.000,1.159.000.000,,0.1668,0.1668,1159000000.0,1159000000.0
Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,,,,,
26,Công ty liên kết của Công ty CP Sợi Phú bài > 26,26,Công ty CP Sợi Phú Bài 2,"31,89%","31,89%",24.000.000.000,24.000.000.000,,0.3189,0.3189,24000000000.0,24000000000.0
Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,,,,,
27,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam > 27,27,Công ty CP May Hòa Thọ - Phú Ninh (iv),"17,69%","18,57%",8.500.000.000,8.500.000.000,,0.1769,0.1857,8500000000.0,8500000000.0
Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,,,,,
28,Công ty liên kết của Tổng Công ty CP Phong Phú > 28,28,Công ty TNHH Coats Phong Phú,"18,18%","18,18%",106.691.335.644,106.691.335.644,,0.1818,0.1818,106691335644.0,106691335644.0
