row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,127.138.768.908,11.917.982.515,657.415.000,139.714.166.423,127138768908.0,11917982515.0,657415000.0,139714166423.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,16.412.539.697,2.397.773.907,444.246.600,19.254.560.204,16412539697.0,2397773907.0,444246600.0,19254560204.0
Tăng do hợp nhất các công ty con mới trong năm,Nguyên giá > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,3.273.749.880,86.100.000,-,3.359.849.880,3273749880.0,86100000.0,,3359849880.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,2.005.602.000,-,2.005.602.000,,2005602000.0,,2005602000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(620.000.000),(55.755.000),-,(675.755.000),-620000000.0,-55755000.0,,-675755000.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(221.250.000),-,(221.250.000),,-221250000.0,,-221250000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,146.205.058.485,16.130.453.422,1.101.661.600,163.437.173.507,146205058485.0,16130453422.0,1101661600.0,163437173507.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.230.649.739,7.001.616.086,591.606.334,23.823.872.159,16230649739.0,7001616086.0,591606334.0,23823872159.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,2.768.579.639,1.911.765.293,12.034.257,4.692.379.189,2768579639.0,1911765293.0,12034257.0,4692379189.0
Tăng do hợp nhất các công ty con mới trong năm,Giá trị hao mòn lũy kế > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,-,12.556.250,-,12.556.250,,12556250.0,,12556250.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(499.531.713),(9.607.125),-,(509.138.838),-499531713.0,-9607125.0,,-509138838.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(20.458.333),-,(20.458.333),,-20458333.0,,-20458333.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,18.499.697.665,8.895.872.171,603.640.591,27.999.210.427,18499697665.0,8895872171.0,603640591.0,27999210427.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,110.908.119.169,4.916.366.429,65.808.666,115.890.294.264,110908119169.0,4916366429.0,65808666.0,115890294264.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,127.705.360.820,7.234.581.251,498.021.009,135.437.963.080,127705360820.0,7234581251.0,498021009.0,135437963080.0
