row_label_raw,row_label_full,▪ Công ty mẹ - Tập đoàn Đệt May Việt Nam > Nhà máy Sợi Nam Định,31/12/2016VND > 21.985.386.962,1/1/2016VNDĐã điều chỉnh lại > 168.030.012.763,numeric__31/12/2016VND > 21.985.386.962,numeric__1/1/2016VNDĐã điều chỉnh lại > 168.030.012.763
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,20.766.833.497,316.442.844.422,20766833497.0,316442844422.0
Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,13.410.122.957,262.300.252.185,13410122957.0,262300252185.0
Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,-,97.912.389.378,,97912389378.0
Nhà máy May Quảng Bình,Nhà máy May Quảng Bình,Nhà máy May Quảng Bình,5.557.770.050,648.291.111,5557770050.0,648291111.0
Nhà máy May Bạc Liêu,Nhà máy May Bạc Liêu,Nhà máy May Bạc Liêu,14.048.857.262,-,14048857262.0,
Nhà máy May Tuyên Quang,Nhà máy May Tuyên Quang,Nhà máy May Tuyên Quang,29.215.075.863,-,29215075863.0,
Dự án Khu liên hợp Sợi - Đệt - Nhuộm - May Quảng Nam,Dự án Khu liên hợp Sợi - Đệt - Nhuộm - May Quảng Nam,Dự án Khu liên hợp Sợi - Đệt - Nhuộm - May Quảng Nam,6.335.837.250,-,6335837250.0,
▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân,▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân,▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân,,,,
Dự án Nhà máy May,▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân > Dự án Nhà máy May,Dự án Nhà máy May,5.062.909.771,9.133.406.988,5062909771.0,9133406988.0
Văn phòng Ngô Thị Nhậm,▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân > Văn phòng Ngô Thị Nhậm,Văn phòng Ngô Thị Nhậm,27.816.556.643,-,27816556643.0,
Nhà máy sợi Hưng Yên,▪ Công ty TNHH Một thành viên Đệt kim Đông Xuân > Nhà máy sợi Hưng Yên,Nhà máy sợi Hưng Yên,5.956.500.224,-,5956500224.0,
▪ Công ty TNHH Một thành viên Đệt kim Đông Phương,▪ Công ty TNHH Một thành viên Đệt kim Đông Phương,▪ Công ty TNHH Một thành viên Đệt kim Đông Phương,,,,
Dự án nhà ở công nhân,▪ Công ty TNHH Một thành viên Đệt kim Đông Phương > Dự án nhà ở công nhân,Dự án nhà ở công nhân,3.200.000.000,-,3200000000.0,
▪ Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,▪ Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,▪ Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,,,,
Trang trại trồng bông công nghệ cao Đắk Lắk,▪ Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam > Trang trại trồng bông công nghệ cao Đắk Lắk,Trang trại trồng bông công nghệ cao Đắk Lắk,12.493.091.904,14.861.730.952,12493091904.0,14861730952.0
Trang trại Ia Lớp - Đắk Lắk,▪ Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam > Trang trại Ia Lớp - Đắk Lắk,Trang trại Ia Lớp - Đắk Lắk,5.026.951.188,-,5026951188.0,
▪ Công ty TNHH Một thành viên Đệt 8-3,▪ Công ty TNHH Một thành viên Đệt 8-3,▪ Công ty TNHH Một thành viên Đệt 8-3,,,,
Nhà máy kéo sợi Hưng Yên,▪ Công ty TNHH Một thành viên Đệt 8-3 > Nhà máy kéo sợi Hưng Yên,Nhà máy kéo sợi Hưng Yên,-,186.568.117.361,,186568117361.0
▪ Tổng Công ty Cổ phần Đệt May Hà Nội,▪ Tổng Công ty Cổ phần Đệt May Hà Nội,▪ Tổng Công ty Cổ phần Đệt May Hà Nội,,,,
Nhà máy kéo sợi tại Khu Công nghiệp Đồng Văn,▪ Tổng Công ty Cổ phần Đệt May Hà Nội > Nhà máy kéo sợi tại Khu Công nghiệp Đồng Văn,Nhà máy kéo sợi tại Khu Công nghiệp Đồng Văn,285.086.654.835,18.491.972.353,285086654835.0,18491972353.0
▪ Công ty TNHH Một thành viên Hà Nam - Hanosimex,▪ Công ty TNHH Một thành viên Hà Nam - Hanosimex,▪ Công ty TNHH Một thành viên Hà Nam - Hanosimex,,,,
Công trình xây dựng Công ty TNHH Một thành viên Hà Nam Hanosimex,▪ Công ty TNHH Một thành viên Hà Nam - Hanosimex > Công trình xây dựng Công ty TNHH Một thành viên Hà Nam Hanosimex,Công trình xây dựng Công ty TNHH Một thành viên Hà Nam Hanosimex,27.524.726.193,27.535.279.829,27524726193.0,27535279829.0
▪ Tổng Công ty Cổ phần Đệt May Nam Định,▪ Tổng Công ty Cổ phần Đệt May Nam Định,▪ Tổng Công ty Cổ phần Đệt May Nam Định,,,,
Nhà máy Nhuộm và Nhà máy Đông Lực,▪ Tổng Công ty Cổ phần Đệt May Nam Định > Nhà máy Nhuộm và Nhà máy Đông Lực,Nhà máy Nhuộm và Nhà máy Đông Lực,69.725.226.915,54.640.730.355,69725226915.0,54640730355.0
Dự án Khu Công nghiệp Hoà Xá,▪ Tổng Công ty Cổ phần Đệt May Nam Định > Dự án Khu Công nghiệp Hoà Xá,Dự án Khu Công nghiệp Hoà Xá,18.329.264.068,18.325.569.336,18329264068.0,18325569336.0
Xây dựng nhà máy sợi 3 - 12 Vạn cọc,▪ Tổng Công ty Cổ phần Đệt May Nam Định > Xây dựng nhà máy sợi 3 - 12 Vạn cọc,Xây dựng nhà máy sợi 3 - 12 Vạn cọc,6.689.758.596,-,6689758596.0,
Các công trình khác,▪ Tổng Công ty Cổ phần Đệt May Nam Định > Các công trình khác,Các công trình khác,26.927.142.679,-,26927142679.0,
▪ Công ty Cổ phần Đệt khăn Đệt May Nam Định,▪ Công ty Cổ phần Đệt khăn Đệt May Nam Định,▪ Công ty Cổ phần Đệt khăn Đệt May Nam Định,,,,
Dự án máy nhuộm,▪ Công ty Cổ phần Đệt khăn Đệt May Nam Định > Dự án máy nhuộm,Dự án máy nhuộm,4.108.111.117,-,4108111117.0,
▪ Công ty Cổ phần Đệt Đông Nam,▪ Công ty Cổ phần Đệt Đông Nam,▪ Công ty Cổ phần Đệt Đông Nam,,,,
"Dự án khu nhà ở, trung tâm thương mại và siêu thị","▪ Công ty Cổ phần Đệt Đông Nam > Dự án khu nhà ở, trung tâm thương mại và siêu thị","Dự án khu nhà ở, trung tâm thương mại và siêu thị",54.262.685.562,51.980.925.381,54262685562.0,51980925381.0
