row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.678.901.322.469,6.391.409.065.129,266.534.360.764,65.814.180.254,122.317.880.929,9.524.976.809.545,2678901322469.0,6391409065129.0,266534360764.0,65814180254.0,122317880929.0,9524976809545.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,47.729.193.098,172.585.947.191,12.913.263.378,5.001.688.326,15.655.720.300,253.885.812.293,47729193098.0,172585947191.0,12913263378.0,5001688326.0,15655720300.0,253885812293.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,350.108.647.746,1.368.706.165.289,18.307.220.274,12.981.591.047,14.169.668.857,1.764.273.293.213,350108647746.0,1368706165289.0,18307220274.0,12981591047.0,14169668857.0,1764273293213.0
Tăng do hợp nhất các công ty con mới trong năm,Nguyên giá > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,100.192.173.518,102.088.117.769,1.816.921.633,1.051.893.400,1.346.599.608,206.495.705.928,100192173518.0,102088117769.0,1816921633.0,1051893400.0,1346599608.0,206495705928.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,14.340.713.271,32.760.812.077,-,-,-,47.101.525.348,14340713271.0,32760812077.0,,,,47101525348.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(2.890.030.050),-,(1.647.099.500),-,(4.537.129.550),,-2890030050.0,,-1647099500.0,,-4537129550.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.869.168.247),(650.000.000),-,-,-,(3.519.168.247),-2869168247.0,-650000000.0,,,,-3519168247.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(34.863.348.106),(184.721.055.754),(4.975.521.540),(1.997.627.266),(2.436.774.150),(228.994.326.816),-34863348106.0,-184721055754.0,-4975521540.0,-1997627266.0,-2436774150.0,-228994326816.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(183.153.794.399),(288.433.787.867),(3.566.619.456),(625.267.806),(9.988.363.281),(485.767.832.809),-183153794399.0,-288433787867.0,-3566619456.0,-625267806.0,-9988363281.0,-485767832809.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(16.644.516.488),-,-,-,-,(16.644.516.488),-16644516488.0,,,,,-16644516488.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(9.653.806),9.653.806,-,-,-,-,-9653806.0,9653806.0,,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.953.731.569.056,7.590.864.887.590,291.029.625.053,80.579.358.455,141.064.732.263,11.057.270.172.417,2953731569056.0,7590864887590.0,291029625053.0,80579358455.0,141064732263.0,11057270172417.0
