row_label_raw,row_label_full,col_0,1/1/2016VNDĐã điều chỉnh lại,Số phải nộp trong năm VND,Số đã nộp/bù trừ trong năm VND,Giảm do mất quyền kiểm soát tại các công ty con VND,31/12/2016VND,numeric__1/1/2016VNDĐã điều chỉnh lại,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp/bù trừ trong năm VND,numeric__Giảm do mất quyền kiểm soát tại các công ty con VND,numeric__31/12/2016VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,22.683.996.551,472.753.996.264,(475.223.396.839),-,20.214.595.976,22683996551.0,472753996264.0,-475223396839.0,,20214595976.0
Thuế xuất nhập khẩu,Thuế > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,3.170.139.874,15.331.962.903,(18.350.582.462),-,151.520.315,3170139874.0,15331962903.0,-18350582462.0,,151520315.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,20.798.650.161,80.177.835.872,(68.502.977.744),(156.307.063),32.317.201.226,20798650161.0,80177835872.0,-68502977744.0,-156307063.0,32317201226.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.002.751.195,14.225.007.971,(15.662.859.479),(22.139.089),8.542.760.598,10002751195.0,14225007971.0,-15662859479.0,-22139089.0,8542760598.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,64.235.536,837.668.054,(763.047.847),-,138.855.743,64235536.0,837668054.0,-763047847.0,,138855743.0
Thuế nhà đất,Thuế > Thuế nhà đất,Thuế nhà đất,23.360.214.019,14.775.895.832,(24.377.314.203),-,13.758.795.648,23360214019.0,14775895832.0,-24377314203.0,,13758795648.0
Tiền thuê đất,Thuế > Tiền thuê đất,Tiền thuê đất,21.291.071.606,66.721.030.603,(73.014.275.865),-,14.997.826.344,21291071606.0,66721030603.0,-73014275865.0,,14997826344.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,4.167.236.290,5.768.649.402,(6.208.482.392),-,3.727.403.300,4167236290.0,5768649402.0,-6208482392.0,,3727403300.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,
Các khoản khác,Các khoản phải nộp khác > Các khoản khác,Các khoản khác,161.822.641,134.489.007,(296.311.648),-,-,161822641.0,134489007.0,-296311648.0,,
,,,105.700.117.873,670.726.535.908,(682.399.248.479),(178.446.152),93.848.959.150,105700117873.0,670726535908.0,-682399248479.0,-178446152.0,93848959150.0
