row_label_raw,row_label_full,25 Phố Bà Triệu
"Phường Hàng Bài, Quận Hoàn Kiểm","Phường Hàng Bài, Quận Hoàn Kiểm","Phường Hàng Bài, Quận Hoàn Kiểm"
"Hà Nội, Việt Nam","Hà Nội, Việt Nam","Hà Nội, Việt Nam"
