row_label_raw,row_label_full,col_0,Theo báo cáo trước đây VND,1/1/2016,1/1/2016_1,numeric__Theo báo cáo trước đây VND,numeric__1/1/2016,numeric__1/1/2016_1
,,,Theo báo cáo trước đây VND,Số điều chỉnh VND,Đã điều chỉnh lại VND,,,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,2.874.036.790.784,261.453.868.980,3.135.490.659.764,2874036790784.0,261453868980.0,3135490659764.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,137.122.569.411,(6.437.092.513),130.685.476.898,137122569411.0,-6437092513.0,130685476898.0
Nguyên giá,Nguyên giá,Nguyên giá,162.031.019.056,(13.072.026.709),148.958.992.347,162031019056.0,-13072026709.0,148958992347.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,(24.908.449.645),6.634.934.196,(18.273.515.449),-24908449645.0,6634934196.0,-18273515449.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,1.588.289.306.866,(261.453.868.980),1.326.835.437.886,1588289306866.0,-261453868980.0,1326835437886.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,72.828.899.328,10.481.703.750,83.310.603.078,72828899328.0,10481703750.0,83310603078.0
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,,,
Nhà nước,Thuế và các khoản phải nộp > Nhà nước,Nhà nước,101.968.149.707,3.731.968.166,105.700.117.873,101968149707.0,3731968166.0,105700117873.0
Người mua trả tiền trước dài hạn,Thuế và các khoản phải nộp > Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,33.983.303.750,(10.481.703.750),23.501.600.000,33983303750.0,-10481703750.0,23501600000.0
Doanh thu chưa thực hiện dài hạn,Thuế và các khoản phải nộp > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,110.715.995.720,(25.096.933.344),85.619.062.376,110715995720.0,-25096933344.0,85619062376.0
Lợi nhuận sau thuế chưa phân phối,Thuế và các khoản phải nộp > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,563.486.264.926,7.613.215.059,571.099.479.985,563486264926.0,7613215059.0,571099479985.0
Lợi ích cổ đông không kiểm soát,Thuế và các khoản phải nộp > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,1.475.284.041.971,7.314.657.606,1.482.598.699.577,1475284041971.0,7314657606.0,1482598699577.0
