row_label_raw,row_label_full,STT > Công ty con của Công ty CP Bông Việt Nam,Tên đơn vị > Công ty con của Công ty CP Bông Việt Nam,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Tên đơn vị > Công ty con của Công ty CP Bông Việt Nam,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016 > Công ty con của Công ty CP Bông Việt Nam,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016 > Công ty con của Công ty CP Bông Việt Nam
15,15,15,Công ty CP Bông Tây Nguyên,"29,80%","29,80%","54,18%","54,18%",5.418.000.000,5.418.000.000,-,-,,0.298,0.298,0.5418,0.5418,5418000000.0,5418000000.0,,
16,16,16,Công ty CP Bông Vải Miền Trung (v),"42,91%","43,26%","49,81%","49,81%",4.550.000.000,4.550.000.000,3.250.000.000,3.250.000.000,,0.4291,0.4326,0.49810000000000004,0.49810000000000004,4550000000.0,4550000000.0,3250000000.0,3250000000.0
17,17,17,Công ty CP Giống cây trồng Nha Hồ,"29,70%","29,70%","54,00%","54,00%",10.800.780.000,10.800.780.000,-,-,,0.297,0.297,0.54,0.54,10800780000.0,10800780000.0,,
Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,Công ty con của Công ty CP Đầu tư Phát triển Vinatex,,,,,,,,,
18,Công ty con của Công ty CP Đầu tư Phát triển Vinatex > 18,18,Công ty CP May Nam An,"32,81%","32,81%","64,33%","64,33%",15.440.000.000,15.440.000.000,-,-,,0.3281,0.3281,0.6433,0.6433,15440000000.0,15440000000.0,,
19,Công ty con của Công ty CP Đầu tư Phát triển Vinatex > 19,19,Công ty TNHH May Vinatex Tư Nghĩa,"38,25%","38,25%","75,00%","75,00%",22.500.000.000,22.500.000.000,-,-,,0.3825,0.3825,0.75,0.75,22500000000.0,22500000000.0,,
20,Công ty con của Công ty CP Đầu tư Phát triển Vinatex > 20,20,Công ty TNHH May Vinatex Hương Trà (vi),"51,00%","40,80%","100,00%","80,00%",30.000.000.000,24.000.000.000,-,-,,0.51,0.408,1.0,0.8,30000000000.0,24000000000.0,,
21,Công ty con của Công ty CP Đầu tư Phát triển Vinatex > 21,21,Công ty TNHH May Vinatex Bồng Sơn,"51,00%","51,00%",100%,100%,30.000.000.000,30.000.000.000,-,-,,0.51,0.51,1.0,1.0,30000000000.0,30000000000.0,,
Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,Công ty con của Tổng Công ty CP Phong Phú,,,,,,,,,
22,Công ty con của Tổng Công ty CP Phong Phú > 22,22,Công ty CP Đệt Đông Nam,"31,10%","31,10%","60,99%","60,99%",36.817.040.000,36.817.040.000,-,-,,0.311,0.311,0.6099,0.6099,36817040000.0,36817040000.0,,
