row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,683.500.692.633,645.921.177.184,683500692633.0,645921177184.0
Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,136.700.138.527,142.102.658.980,136700138527.0,142102658980.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(3.717.726.624),(3.602.812.509),-3717726624.0,-3602812509.0
Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,(8.044.799.622),(11.144.855.146),-8044799622.0,-11144855146.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,1.459.328.734,2.227.154.718,1459328734.0,2227154718.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(79.912.775.663),(72.320.811.859),-79912775663.0,-72320811859.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(33.865.445),(235.434.104),-33865445.0,-235434104.0
Tải sản thuế thu nhập hoãn lại chưa được ghi nhận,Tải sản thuế thu nhập hoãn lại chưa được ghi nhận,Tải sản thuế thu nhập hoãn lại chưa được ghi nhận,55.962.366.397,41.840.593.178,55962366397.0,41840593178.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,1.765.669.269,167.402.938,1765669269.0,167402938.0
,,,104.178.335.573,99.033.896.196,104178335573.0,99033896196.0
