row_label_raw,row_label_full,col_0,Chi phí trước hoạt động VND,Chi phí đất trả trước VND,"Chi phí thuê văn phòng, nhà máy trả trước VND","Công cụ, dụng cụ VND",Lợi thế kinh doanh VND,Phụ tùng thay thế VND,Chi phí sửa chữa lớn tài sản cố định VND,Lỗ chênh lệch tỷ giá chưa thực hiện VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Chi phí trước hoạt động VND,numeric__Chi phí đất trả trước VND,"numeric__Chi phí thuê văn phòng, nhà máy trả trước VND","numeric__Công cụ, dụng cụ VND",numeric__Lợi thế kinh doanh VND,numeric__Phụ tùng thay thế VND,numeric__Chi phí sửa chữa lớn tài sản cố định VND,numeric__Lỗ chênh lệch tỷ giá chưa thực hiện VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,9.645.504.694,200.822.471.954,40.222.035.449,150.055.863.701,3.915.262.825,10.850.507.678,17.463.226.303,-,28.234.710.282,461.209.582.886,9645504694.0,200822471954.0,40222035449.0,150055863701.0,3915262825.0,10850507678.0,17463226303.0,,28234710282.0,461209582886.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,15.924.751.076,-,113.508.766.703,-,13.035.814.829,5.581.983.652,15.146.064.363,58.039.298.915,221.236.679.538,,15924751076.0,,113508766703.0,,13035814829.0,5581983652.0,15146064363.0,58039298915.0,221236679538.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,37.473.055.753,-,32.442.762.778,-,-,288.019.893,-,20.804.417.642,91.008.256.066,,37473055753.0,,32442762778.0,,,288019893.0,,20804417642.0,91008256066.0
Chuyển sang tải sản cố định hữu hình,Chuyển sang tải sản cố định hữu hình,Chuyển sang tải sản cố định hữu hình,-,-,-,(43.158.544.363),-,-,-,-,-,(43.158.544.363),,,,-43158544363.0,,,,,,-43158544363.0
Chuyển từ tải sản cố định hữu hình,Chuyển từ tải sản cố định hữu hình,Chuyển từ tải sản cố định hữu hình,-,-,-,3.873.916.300,-,-,-,-,-,3.873.916.300,,,,3873916300.0,,,,,,3873916300.0
Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,-,-,104.439.249,579.776.291,-,-,3.516.655.142,-,261.359.075,4.462.229.757,,,104439249.0,579776291.0,,,3516655142.0,,261359075.0,4462229757.0
Thanh lý,Thanh lý,Thanh lý,-,(17.071.793.327),-,-,-,-,-,-,-,(17.071.793.327),,-17071793327.0,,,,,,,,-17071793327.0
Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(1.585.584.000),-,(19.675.448.270),-,-,-,-,(1.054.999.894),(22.316.032.164),,-1585584000.0,,-19675448270.0,,,,,-1054999894.0,-22316032164.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(3.486.183.585),(21.286.710.370),(9.402.215.449),(73.823.276.805),(1.957.631.412),(7.109.020.160),(6.709.910.550),-,(52.144.767.040),(175.919.715.371),-3486183585.0,-21286710370.0,-9402215449.0,-73823276805.0,-1957631412.0,-7109020160.0,-6709910550.0,,-52144767040.0,-175919715371.0
Xóa số,Xóa số,Xóa số,-,-,-,(49.154.947.660),-,-,-,-,-,(49.154.947.660),,,,-49154947660.0,,,,,,-49154947660.0
Biển động khác,Biển động khác,Biển động khác,-,-,-,274.000.000,-,-,-,-,-,274.000.000,,,,274000000.0,,,,,,274000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.159.321.109,214.276.191.086,30.924.259.249,114.922.868.675,1.957.631.413,16.777.302.347,20.139.974.440,15.146.064.363,54.140.018.980,474.443.631.662,6159321109.0,214276191086.0,30924259249.0,114922868675.0,1957631413.0,16777302347.0,20139974440.0,15146064363.0,54140018980.0,474443631662.0
