row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND Đã điều chỉnh lại
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuế,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,683.500.692.633,645.921.177.184,1.0,,683500692633.0,645921177184.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,641.193.318.038,585.663.173.305,2.0,,641193318038.0,585663173305.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,170.894.626.686,142.437.387.116,3.0,,170894626686.0,142437387116.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá,Lỗ chênh lệch tỷ giá hối đoái do đánh giá,Lỗ chênh lệch tỷ giá hối đoái do đánh giá,,,,,,,,
lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > lại các khoản mục tiền tệ có gốc ngoại tệ,lại các khoản mục tiền tệ có gốc ngoại tệ,04,,46.747.397.531,56.008.761.043,4.0,,46747397531.0,56008761043.0
Lãi từ hoạt động đầu tư,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(782.882.495.085),(725.593.824.363),5.0,,-782882495085.0,-725593824363.0
Chi phí lãi vay,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Chi phí lãi vay,Chi phí lãi vay,06,,333.839.233.856,354.284.173.973,6.0,,333839233856.0,354284173973.0
Nợ phải trả được điều chỉnh giảm,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Nợ phải trả được điều chỉnh giảm,Nợ phải trả được điều chỉnh giảm,07,,-,(11.516.222.447),7.0,,,-11516222447.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.093.292.773.659,1.047.204.625.811,8.0,,1093292773659.0,1047204625811.0
Biến động các khoản phải thu và tài sản khác,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,(328.475.608.151),(652.187.055.984),9.0,,-328475608151.0,-652187055984.0
Biến động hàng tồn kho,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(214.336.914.153),(197.771.299.583),10.0,,-214336914153.0,-197771299583.0
Biến động các khoản phải trả và nợ phải trả khác,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,191.155.368.364,495.758.857.325,11.0,,191155368364.0,495758857325.0
Biến động chi phí trả trước,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(2.797.149.589),(85.430.154.028),12.0,,-2797149589.0,-85430154028.0
Biến động chứng khoán kinh doanh,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,60.000.000,22.102.232.451,13.0,,60000000.0,22102232451.0
,,,,,738.898.470.130,629.677.205.992,,,738898470130.0,629677205992.0
Tiền lãi vay đã trả,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(300.611.806.591),(369.529.385.299),14.0,,-300611806591.0,-369529385299.0
Thuế thu nhập doanh nghiệp đã nộp,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(68.682.102.247),(60.637.314.396),15.0,,-68682102247.0,-60637314396.0
Tiền thu khác từ hoạt động kinh doanh,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,79.939.016.011,521.621.957.265,16.0,,79939016011.0,521621957265.0
Tiền chi khác cho hoạt động kinh doanh,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(86.419.815.739),(474.794.857.961),17.0,,-86419815739.0,-474794857961.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lỗ chênh lệch tỷ giá hối đoái do đánh giá > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,363.123.761.564,246.337.605.601,20.0,,363123761564.0,246337605601.0
