row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2016,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2016,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2016,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2016,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2016,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2016
Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,Công ty con của Công ty TNHH MTV Đệt 8 - 3,,,,,,,,,
1,Công ty con của Công ty TNHH MTV Đệt 8 - 3 > 1,1,Công ty CP Đệt kim Vinatex,"83,46%","83,46%","60,51%","60,51%",22.992.000.000,22.992.000.000,15.008.000.000,15.008.000.000,,0.8345999999999999,0.8345999999999999,0.6051,0.6051,22992000000.0,22992000000.0,15008000000.0,15008000000.0
2,Công ty con của Công ty TNHH MTV Đệt 8 - 3 > 2,2,Công ty CP Vinatex Quốc tế (i),-,"65,47%",-,"65,47%",-,45.500.000.000,-,-,,,0.6547,,0.6547,,45500000000.0,,
Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,Công ty con của Tổng Công ty CP Đệt May Hà Nội,,,,,,,,,
3,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 3,3,Cty CP Thời trang Hanosimex,"37,42%","37,42%","65,00%","65,00%",5.850.000.000,5.850.000.000,-,-,,0.37420000000000003,0.37420000000000003,0.65,0.65,5850000000.0,5850000000.0,,
4,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 4,4,Công ty CP Đệt May Hoàng Thị Loan,"43,70%","43,70%","75,90%","75,90%",25.503.100.000,25.503.100.000,-,-,,0.43700000000000006,0.43700000000000006,0.759,0.759,25503100000.0,25503100000.0,,
5,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 5,5,Công ty CP Thương mại Hải Phòng Hanosimex,"29,40%","29,40%","51,07%","51,07%",5.107.000.000,5.107.000.000,-,-,,0.294,0.294,0.5107,0.5107,5107000000.0,5107000000.0,,
6,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 6,6,Công ty CP May Halotexco,"44,62%","44,62%","53,64%","53,64%",1.877.500.000,1.877.500.000,1.100.000.000,1.100.000.000,,0.4462,0.4462,0.5364,0.5364,1877500000.0,1877500000.0,1100000000.0,1100000000.0
7,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 7,7,Công ty CP May Hải Phòng Hanosimex,"34,67%","34,67%","50,00%","50,00%",1.250.000.000,1.250.000.000,500.000.000,500.000.000,,0.3467,0.3467,0.5,0.5,1250000000.0,1250000000.0,500000000.0,500000000.0
8,Công ty con của Tổng Công ty CP Đệt May Hà Nội > 8,8,Công ty TNHH MTV Hà Nam – Hanosimex,"57,57%","57,57%",100%,100%,100.000.000.000,100.000.000.000,-,-,,0.5757,0.5757,1.0,1.0,100000000000.0,100000000000.0,,
