row_label_raw,row_label_full,col_0,Chi phí di dòi VND,Khác VND,Tổng cộng VND,numeric__Chi phí di dòi VND,numeric__Khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,117.290.115.751,4.717.381.547,122.007.497.298,117290115751.0,4717381547.0,122007497298.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(537.170.206),-,(537.170.206),-537170206.0,,-537170206.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,(27.077.027.227),(3.700.000.000),(30.777.027.227),-27077027227.0,-3700000000.0,-30777027227.0
Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,-,(1.017.381.547),(1.017.381.547),,-1017381547.0,-1017381547.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,89.675.918.318,-,89.675.918.318,89675918318.0,,89675918318.0
Dài hạn,Dài hạn,Dài hạn,89.675.918.318,-,89.675.918.318,89675918318.0,,89675918318.0
