row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại thời điểm mất quyền kiểm soát VND,numeric__Giá trị ghi sổ tại thời điểm mất quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,57.086.399.057,57086399057.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,393.604.632.570,393604632570.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,196.073.382.386,196073382386.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,92.904.800.120,92904800120.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,3.000.000.000,3000000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,453.651.121.311,453651121311.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,4.871.228.260,4871228260.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,47.331.500.000,47331500000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,22.316.032.164,22316032164.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(777.720.191.131),-777720191131.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(396.085.607.674),-396085607674.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,97.033.297.063,97033297063.0
Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,Ghi giảm lợi ích cổ đông không kiểm soát của công ty con cấp 2,(59.939.499.541),-59939499541.0
Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,37.093.797.522,37093797522.0
Lãi do mất quyền kiểm soát tại công ty con,Lãi do mất quyền kiểm soát tại công ty con,Lãi do mất quyền kiểm soát tại công ty con,14.109.526.440,14109526440.0
Giá thanh lý,Giá thanh lý,Giá thanh lý,51.203.323.962,51203323962.0
Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,(46.003.323.962),-46003323962.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,5.200.000.000,5200000000.0
Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,(57.086.399.057),-57086399057.0
Khoản tiền thuần giảm đi do mất quyền kiểm soát tại công ty con,Khoản tiền thuần giảm đi do mất quyền kiểm soát tại công ty con,Khoản tiền thuần giảm đi do mất quyền kiểm soát tại công ty con,(51.886.399.057),-51886399057.0
