row_label_raw,row_label_full,col_0,Giá trị ghi số và giá trị hợp lý tại ngày nằm quyền kiểm soát VND,numeric__Giá trị ghi số và giá trị hợp lý tại ngày nằm quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,14.805.172.330,14805172330.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,110.819.273.839,110819273839.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,108.519.089.473,108519089473.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.084.495.423,1084495423.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,162.145.759,162145759.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,184.671.495.381,184671495381.0
Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,12.499.147.993,12499147993.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,4.462.229.757,4462229757.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(223.398.531.466),-223398531466.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(107.288.077.974),-107288077974.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,106.336.440.515,106336440515.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,39.379.505.830,39379505830.0
Giá trị ghi sở của khoản đầu tư vào công ty liên kết tới ngày Tập đoàn nắm quyền kiểm soát các công ty này,Giá trị ghi sở của khoản đầu tư vào công ty liên kết tới ngày Tập đoàn nắm quyền kiểm soát các công ty này,Giá trị ghi sở của khoản đầu tư vào công ty liên kết tới ngày Tập đoàn nắm quyền kiểm soát các công ty này,(42.804.509.933),-42804509933.0
Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày nằm quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày nằm quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày nằm quyền kiểm soát,59.507.455.683,59507455683.0
Lợi thể thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),Lợi thể thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),Lợi thể thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),23.667.548.420,23667548420.0
Giá mua phần sở hữu tăng thêm,Giá mua phần sở hữu tăng thêm,Giá mua phần sở hữu tăng thêm,79.750.000.000,79750000000.0
Khoản tiền của công ty được hợp nhất,Khoản tiền của công ty được hợp nhất,Khoản tiền của công ty được hợp nhất,(14.805.172.330),-14805172330.0
Khoản tiền trả thuần,Khoản tiền trả thuần,Khoản tiền trả thuần,64.944.827.670,64944827670.0
